date,number,name
8/16/2018 11:00,347,Art Building
8/16/2018 12:00,427,Art Building
8/16/2018 13:00,329,Art Building
8/16/2018 14:00,278,Art Building
8/16/2018 15:00,418,Art Building
8/16/2018 16:00,274,Art Building
8/16/2018 17:00,183,Art Building
8/16/2018 18:00,85,Art Building
8/16/2018 19:00,41,Art Building
8/16/2018 20:00,19,Art Building
8/16/2018 21:00,18,Art Building
8/16/2018 22:00,16,Art Building
8/16/2018 23:00,15,Art Building
8/17/2018 0:00,12,Art Building
8/17/2018 1:00,9,Art Building
8/17/2018 2:00,9,Art Building
8/17/2018 3:00,6,Art Building
8/17/2018 4:00,6,Art Building
8/17/2018 5:00,11,Art Building
8/17/2018 6:00,24,Art Building
8/17/2018 7:00,56,Art Building
8/17/2018 8:00,110,Art Building
8/17/2018 9:00,124,Art Building
8/17/2018 10:00,171,Art Building
8/17/2018 11:00,192,Art Building
8/17/2018 12:00,198,Art Building
8/17/2018 13:00,154,Art Building
8/17/2018 14:00,127,Art Building
8/17/2018 15:00,64,Art Building
8/17/2018 16:00,69,Art Building
8/17/2018 17:00,72,Art Building
8/17/2018 18:00,40,Art Building
8/17/2018 19:00,42,Art Building
8/17/2018 20:00,17,Art Building
8/17/2018 21:00,23,Art Building
8/17/2018 22:00,13,Art Building
8/17/2018 23:00,14,Art Building
8/18/2018 0:00,6,Art Building
8/18/2018 1:00,7,Art Building
8/18/2018 2:00,8,Art Building
8/18/2018 3:00,5,Art Building
8/18/2018 4:00,8,Art Building
8/18/2018 5:00,7,Art Building
8/18/2018 6:00,9,Art Building
8/18/2018 7:00,34,Art Building
8/18/2018 8:00,97,Art Building
8/18/2018 9:00,69,Art Building
8/18/2018 10:00,97,Art Building
8/18/2018 11:00,96,Art Building
8/18/2018 12:00,127,Art Building
8/18/2018 13:00,73,Art Building
8/18/2018 14:00,57,Art Building
8/18/2018 15:00,88,Art Building
8/18/2018 16:00,85,Art Building
8/18/2018 17:00,47,Art Building
8/18/2018 18:00,24,Art Building
8/18/2018 19:00,16,Art Building
8/18/2018 20:00,14,Art Building
8/18/2018 21:00,13,Art Building
8/18/2018 22:00,8,Art Building
8/18/2018 23:00,8,Art Building
8/19/2018 0:00,11,Art Building
8/19/2018 1:00,7,Art Building
8/19/2018 2:00,5,Art Building
8/19/2018 3:00,7,Art Building
8/19/2018 4:00,6,Art Building
8/19/2018 5:00,7,Art Building
8/19/2018 6:00,12,Art Building
8/19/2018 7:00,15,Art Building
8/19/2018 8:00,45,Art Building
8/19/2018 9:00,100,Art Building
8/19/2018 10:00,90,Art Building
8/19/2018 11:00,126,Art Building
8/19/2018 12:00,136,Art Building
8/19/2018 13:00,114,Art Building
8/19/2018 14:00,73,Art Building
8/19/2018 15:00,113,Art Building
8/19/2018 16:00,92,Art Building
8/19/2018 17:00,87,Art Building
8/19/2018 18:00,53,Art Building
8/19/2018 19:00,61,Art Building
8/19/2018 20:00,31,Art Building
8/19/2018 21:00,11,Art Building
8/19/2018 22:00,17,Art Building
8/19/2018 23:00,12,Art Building
8/20/2018 0:00,7,Art Building
8/20/2018 1:00,7,Art Building
8/20/2018 2:00,7,Art Building
8/20/2018 3:00,7,Art Building
8/20/2018 4:00,9,Art Building
8/20/2018 5:00,38,Art Building
8/20/2018 6:00,232,Art Building
8/20/2018 7:00,423,Art Building
8/20/2018 8:00,959,Art Building
8/20/2018 9:00,1219,Art Building
8/20/2018 10:00,1203,Art Building
8/20/2018 11:00,1355,Art Building
8/20/2018 12:00,1402,Art Building
8/20/2018 13:00,1207,Art Building
8/20/2018 14:00,1091,Art Building
8/20/2018 15:00,768,Art Building
8/20/2018 16:00,683,Art Building
8/20/2018 17:00,474,Art Building
8/20/2018 18:00,289,Art Building
8/20/2018 19:00,115,Art Building
8/20/2018 20:00,74,Art Building
8/20/2018 21:00,43,Art Building
8/20/2018 22:00,33,Art Building
8/20/2018 23:00,15,Art Building
8/21/2018 0:00,11,Art Building
8/21/2018 1:00,8,Art Building
8/21/2018 2:00,8,Art Building
8/21/2018 3:00,10,Art Building
8/21/2018 4:00,9,Art Building
8/21/2018 5:00,34,Art Building
8/21/2018 6:00,113,Art Building
8/21/2018 7:00,327,Art Building
8/21/2018 8:00,922,Art Building
8/21/2018 9:00,816,Art Building
8/21/2018 10:00,1257,Art Building
8/21/2018 11:00,1353,Art Building
8/21/2018 12:00,753,Art Building
8/21/2018 13:00,1194,Art Building
8/21/2018 14:00,991,Art Building
8/21/2018 15:00,652,Art Building
8/21/2018 16:00,604,Art Building
8/21/2018 17:00,388,Art Building
8/21/2018 18:00,210,Art Building
8/21/2018 19:00,132,Art Building
8/21/2018 20:00,69,Art Building
8/21/2018 21:00,61,Art Building
8/21/2018 22:00,31,Art Building
8/21/2018 23:00,14,Art Building
8/22/2018 0:00,12,Art Building
8/22/2018 1:00,11,Art Building
8/22/2018 2:00,9,Art Building
8/22/2018 3:00,8,Art Building
8/22/2018 4:00,8,Art Building
8/22/2018 5:00,41,Art Building
8/22/2018 6:00,110,Art Building
8/22/2018 7:00,308,Art Building
8/22/2018 8:00,838,Art Building
8/22/2018 9:00,1067,Art Building
8/22/2018 10:00,1121,Art Building
8/22/2018 11:00,1347,Art Building
8/22/2018 12:00,1315,Art Building
8/22/2018 13:00,1153,Art Building
