date,number,name
8/16/2018 11:00,151,Bachman Hall
8/16/2018 12:00,174,Bachman Hall
8/16/2018 13:00,175,Bachman Hall
8/16/2018 14:00,131,Bachman Hall
8/16/2018 15:00,143,Bachman Hall
8/16/2018 16:00,165,Bachman Hall
8/16/2018 17:00,202,Bachman Hall
8/16/2018 18:00,129,Bachman Hall
8/16/2018 19:00,99,Bachman Hall
8/16/2018 20:00,71,Bachman Hall
8/16/2018 21:00,54,Bachman Hall
8/16/2018 22:00,32,Bachman Hall
8/16/2018 23:00,19,Bachman Hall
8/17/2018 0:00,14,Bachman Hall
8/17/2018 1:00,12,Bachman Hall
8/17/2018 2:00,7,Bachman Hall
8/17/2018 3:00,9,Bachman Hall
8/17/2018 4:00,7,Bachman Hall
8/17/2018 5:00,14,Bachman Hall
8/17/2018 6:00,26,Bachman Hall
8/17/2018 7:00,52,Bachman Hall
8/17/2018 8:00,62,Bachman Hall
8/17/2018 9:00,114,Bachman Hall
8/17/2018 10:00,95,Bachman Hall
8/17/2018 11:00,100,Bachman Hall
8/17/2018 12:00,104,Bachman Hall
8/17/2018 13:00,133,Bachman Hall
8/17/2018 14:00,123,Bachman Hall
8/17/2018 15:00,114,Bachman Hall
8/17/2018 16:00,109,Bachman Hall
8/17/2018 17:00,102,Bachman Hall
8/17/2018 18:00,81,Bachman Hall
8/17/2018 19:00,85,Bachman Hall
8/17/2018 20:00,53,Bachman Hall
8/17/2018 21:00,42,Bachman Hall
8/17/2018 22:00,34,Bachman Hall
8/17/2018 23:00,21,Bachman Hall
8/18/2018 0:00,16,Bachman Hall
8/18/2018 1:00,16,Bachman Hall
8/18/2018 2:00,7,Bachman Hall
8/18/2018 3:00,6,Bachman Hall
8/18/2018 4:00,8,Bachman Hall
8/18/2018 5:00,9,Bachman Hall
8/18/2018 6:00,25,Bachman Hall
8/18/2018 7:00,20,Bachman Hall
8/18/2018 8:00,66,Bachman Hall
8/18/2018 9:00,78,Bachman Hall
8/18/2018 10:00,79,Bachman Hall
8/18/2018 11:00,112,Bachman Hall
8/18/2018 12:00,78,Bachman Hall
8/18/2018 13:00,110,Bachman Hall
8/18/2018 14:00,96,Bachman Hall
8/18/2018 15:00,55,Bachman Hall
8/18/2018 16:00,49,Bachman Hall
8/18/2018 17:00,77,Bachman Hall
8/18/2018 18:00,77,Bachman Hall
8/18/2018 19:00,66,Bachman Hall
8/18/2018 20:00,45,Bachman Hall
8/18/2018 21:00,42,Bachman Hall
8/18/2018 22:00,38,Bachman Hall
8/18/2018 23:00,22,Bachman Hall
8/19/2018 0:00,17,Bachman Hall
8/19/2018 1:00,12,Bachman Hall
8/19/2018 2:00,10,Bachman Hall
8/19/2018 3:00,7,Bachman Hall
8/19/2018 4:00,6,Bachman Hall
8/19/2018 5:00,13,Bachman Hall
8/19/2018 6:00,23,Bachman Hall
8/19/2018 7:00,22,Bachman Hall
8/19/2018 8:00,56,Bachman Hall
8/19/2018 9:00,57,Bachman Hall
8/19/2018 10:00,64,Bachman Hall
8/19/2018 11:00,74,Bachman Hall
8/19/2018 12:00,105,Bachman Hall
8/19/2018 13:00,90,Bachman Hall
8/19/2018 14:00,71,Bachman Hall
8/19/2018 15:00,81,Bachman Hall
8/19/2018 16:00,70,Bachman Hall
8/19/2018 17:00,80,Bachman Hall
8/19/2018 18:00,83,Bachman Hall
8/19/2018 19:00,89,Bachman Hall
8/19/2018 20:00,57,Bachman Hall
8/19/2018 21:00,45,Bachman Hall
8/19/2018 22:00,24,Bachman Hall
8/19/2018 23:00,19,Bachman Hall
8/20/2018 0:00,7,Bachman Hall
8/20/2018 1:00,7,Bachman Hall
8/20/2018 2:00,7,Bachman Hall
8/20/2018 3:00,9,Bachman Hall
8/20/2018 4:00,11,Bachman Hall
8/20/2018 5:00,31,Bachman Hall
8/20/2018 6:00,82,Bachman Hall
8/20/2018 7:00,211,Bachman Hall
8/20/2018 8:00,223,Bachman Hall
8/20/2018 9:00,161,Bachman Hall
8/20/2018 10:00,200,Bachman Hall
8/20/2018 11:00,183,Bachman Hall
8/20/2018 12:00,256,Bachman Hall
8/20/2018 13:00,164,Bachman Hall
8/20/2018 14:00,185,Bachman Hall
8/20/2018 15:00,185,Bachman Hall
8/20/2018 16:00,212,Bachman Hall
8/20/2018 17:00,338,Bachman Hall
8/20/2018 18:00,266,Bachman Hall
8/20/2018 19:00,139,Bachman Hall
8/20/2018 20:00,100,Bachman Hall
8/20/2018 21:00,58,Bachman Hall
8/20/2018 22:00,25,Bachman Hall
8/20/2018 23:00,12,Bachman Hall
8/21/2018 0:00,11,Bachman Hall
8/21/2018 1:00,5,Bachman Hall
8/21/2018 2:00,6,Bachman Hall
8/21/2018 3:00,6,Bachman Hall
8/21/2018 4:00,7,Bachman Hall
8/21/2018 5:00,21,Bachman Hall
8/21/2018 6:00,78,Bachman Hall
8/21/2018 7:00,195,Bachman Hall
8/21/2018 8:00,251,Bachman Hall
8/21/2018 9:00,174,Bachman Hall
8/21/2018 10:00,185,Bachman Hall
8/21/2018 11:00,178,Bachman Hall
8/21/2018 12:00,169,Bachman Hall
8/21/2018 13:00,255,Bachman Hall
8/21/2018 14:00,170,Bachman Hall
8/21/2018 15:00,140,Bachman Hall
8/21/2018 16:00,196,Bachman Hall
8/21/2018 17:00,227,Bachman Hall
8/21/2018 18:00,206,Bachman Hall
8/21/2018 19:00,138,Bachman Hall
8/21/2018 20:00,82,Bachman Hall
8/21/2018 21:00,75,Bachman Hall
8/21/2018 22:00,49,Bachman Hall
8/21/2018 23:00,21,Bachman Hall
8/22/2018 0:00,12,Bachman Hall
8/22/2018 1:00,10,Bachman Hall
8/22/2018 2:00,8,Bachman Hall
8/22/2018 3:00,7,Bachman Hall
8/22/2018 4:00,7,Bachman Hall
8/22/2018 5:00,26,Bachman Hall
8/22/2018 6:00,81,Bachman Hall
8/22/2018 7:00,165,Bachman Hall
8/22/2018 8:00,185,Bachman Hall
8/22/2018 9:00,187,Bachman Hall
8/22/2018 10:00,170,Bachman Hall
8/22/2018 11:00,117,Bachman Hall
8/22/2018 12:00,165,Bachman Hall
8/22/2018 13:00,226,Bachman Hall
