date,number,name
8/16/2018 11:00,710,Campus Center
8/16/2018 12:00,916,Campus Center
8/16/2018 13:00,667,Campus Center
8/16/2018 14:00,520,Campus Center
8/16/2018 15:00,500,Campus Center
8/16/2018 16:00,398,Campus Center
8/16/2018 17:00,321,Campus Center
8/16/2018 18:00,217,Campus Center
8/16/2018 19:00,89,Campus Center
8/16/2018 20:00,44,Campus Center
8/16/2018 21:00,40,Campus Center
8/16/2018 22:00,27,Campus Center
8/16/2018 23:00,25,Campus Center
8/17/2018 0:00,18,Campus Center
8/17/2018 1:00,17,Campus Center
8/17/2018 2:00,16,Campus Center
8/17/2018 3:00,15,Campus Center
8/17/2018 4:00,15,Campus Center
8/17/2018 5:00,21,Campus Center
8/17/2018 6:00,52,Campus Center
8/17/2018 7:00,100,Campus Center
8/17/2018 8:00,213,Campus Center
8/17/2018 9:00,278,Campus Center
8/17/2018 10:00,358,Campus Center
8/17/2018 11:00,411,Campus Center
8/17/2018 12:00,435,Campus Center
8/17/2018 13:00,370,Campus Center
8/17/2018 14:00,317,Campus Center
8/17/2018 15:00,230,Campus Center
8/17/2018 16:00,159,Campus Center
8/17/2018 17:00,104,Campus Center
8/17/2018 18:00,94,Campus Center
8/17/2018 19:00,56,Campus Center
8/17/2018 20:00,22,Campus Center
8/17/2018 21:00,23,Campus Center
8/17/2018 22:00,23,Campus Center
8/17/2018 23:00,25,Campus Center
8/18/2018 0:00,14,Campus Center
8/18/2018 1:00,16,Campus Center
8/18/2018 2:00,12,Campus Center
8/18/2018 3:00,17,Campus Center
8/18/2018 4:00,9,Campus Center
8/18/2018 5:00,12,Campus Center
8/18/2018 6:00,16,Campus Center
8/18/2018 7:00,44,Campus Center
8/18/2018 8:00,145,Campus Center
8/18/2018 9:00,227,Campus Center
8/18/2018 10:00,259,Campus Center
8/18/2018 11:00,299,Campus Center
8/18/2018 12:00,285,Campus Center
8/18/2018 13:00,213,Campus Center
8/18/2018 14:00,155,Campus Center
8/18/2018 15:00,124,Campus Center
8/18/2018 16:00,119,Campus Center
8/18/2018 17:00,86,Campus Center
8/18/2018 18:00,38,Campus Center
8/18/2018 19:00,32,Campus Center
8/18/2018 20:00,28,Campus Center
8/18/2018 21:00,28,Campus Center
8/18/2018 22:00,21,Campus Center
