date,number,name
8/16/2018 11:00,181,Crawford Hall
8/16/2018 12:00,240,Crawford Hall
8/16/2018 13:00,198,Crawford Hall
8/16/2018 14:00,176,Crawford Hall
8/16/2018 15:00,192,Crawford Hall
8/16/2018 16:00,155,Crawford Hall
8/16/2018 17:00,93,Crawford Hall
8/16/2018 18:00,59,Crawford Hall
8/16/2018 19:00,46,Crawford Hall
8/16/2018 20:00,20,Crawford Hall
8/16/2018 21:00,16,Crawford Hall
8/16/2018 22:00,17,Crawford Hall
8/16/2018 23:00,14,Crawford Hall
8/17/2018 0:00,11,Crawford Hall
8/17/2018 1:00,9,Crawford Hall
8/17/2018 2:00,8,Crawford Hall
8/17/2018 3:00,8,Crawford Hall
8/17/2018 4:00,10,Crawford Hall
8/17/2018 5:00,11,Crawford Hall
8/17/2018 6:00,15,Crawford Hall
8/17/2018 7:00,30,Crawford Hall
8/17/2018 8:00,60,Crawford Hall
8/17/2018 9:00,74,Crawford Hall
8/17/2018 10:00,74,Crawford Hall
8/17/2018 11:00,148,Crawford Hall
8/17/2018 12:00,180,Crawford Hall
8/17/2018 13:00,167,Crawford Hall
8/17/2018 14:00,98,Crawford Hall
8/17/2018 15:00,50,Crawford Hall
8/17/2018 16:00,86,Crawford Hall
8/17/2018 17:00,35,Crawford Hall
8/17/2018 18:00,35,Crawford Hall
8/17/2018 19:00,24,Crawford Hall
8/17/2018 20:00,15,Crawford Hall
8/17/2018 21:00,15,Crawford Hall
8/17/2018 22:00,13,Crawford Hall
8/17/2018 23:00,12,Crawford Hall
8/18/2018 0:00,12,Crawford Hall
8/18/2018 1:00,9,Crawford Hall
8/18/2018 2:00,8,Crawford Hall
8/18/2018 3:00,9,Crawford Hall
8/18/2018 4:00,8,Crawford Hall
8/18/2018 5:00,8,Crawford Hall
8/18/2018 6:00,10,Crawford Hall
8/18/2018 7:00,15,Crawford Hall
8/18/2018 8:00,22,Crawford Hall
8/18/2018 9:00,50,Crawford Hall
8/18/2018 10:00,40,Crawford Hall
8/18/2018 11:00,37,Crawford Hall
8/18/2018 12:00,54,Crawford Hall
8/18/2018 13:00,34,Crawford Hall
8/18/2018 14:00,32,Crawford Hall
8/18/2018 15:00,25,Crawford Hall
8/18/2018 16:00,37,Crawford Hall
8/18/2018 17:00,28,Crawford Hall
8/18/2018 18:00,20,Crawford Hall
8/18/2018 19:00,12,Crawford Hall
8/18/2018 20:00,10,Crawford Hall
8/18/2018 21:00,10,Crawford Hall
8/18/2018 22:00,10,Crawford Hall
8/18/2018 23:00,9,Crawford Hall
8/19/2018 0:00,7,Crawford Hall
8/19/2018 1:00,9,Crawford Hall
8/19/2018 2:00,9,Crawford Hall
8/19/2018 3:00,7,Crawford Hall
8/19/2018 4:00,6,Crawford Hall
8/19/2018 5:00,7,Crawford Hall
8/19/2018 6:00,9,Crawford Hall
8/19/2018 7:00,14,Crawford Hall
8/19/2018 8:00,15,Crawford Hall
8/19/2018 9:00,39,Crawford Hall
8/19/2018 10:00,53,Crawford Hall
8/19/2018 11:00,71,Crawford Hall
8/19/2018 12:00,57,Crawford Hall
8/19/2018 13:00,48,Crawford Hall
8/19/2018 14:00,43,Crawford Hall
8/19/2018 15:00,66,Crawford Hall
8/19/2018 16:00,69,Crawford Hall
8/19/2018 17:00,42,Crawford Hall
8/19/2018 18:00,31,Crawford Hall
8/19/2018 19:00,37,Crawford Hall
8/19/2018 20:00,22,Crawford Hall
8/19/2018 21:00,10,Crawford Hall
8/19/2018 22:00,12,Crawford Hall
8/19/2018 23:00,11,Crawford Hall
8/20/2018 0:00,8,Crawford Hall
8/20/2018 1:00,6,Crawford Hall
8/20/2018 2:00,8,Crawford Hall
8/20/2018 3:00,6,Crawford Hall
8/20/2018 4:00,7,Crawford Hall
8/20/2018 5:00,21,Crawford Hall
8/20/2018 6:00,60,Crawford Hall
8/20/2018 7:00,174,Crawford Hall
8/20/2018 8:00,413,Crawford Hall
8/20/2018 9:00,552,Crawford Hall
8/20/2018 10:00,621,Crawford Hall
8/20/2018 11:00,694,Crawford Hall
8/20/2018 12:00,630,Crawford Hall
8/20/2018 13:00,649,Crawford Hall
8/20/2018 14:00,508,Crawford Hall
8/20/2018 15:00,345,Crawford Hall
8/20/2018 16:00,328,Crawford Hall
8/20/2018 17:00,208,Crawford Hall
8/20/2018 18:00,125,Crawford Hall
8/20/2018 19:00,69,Crawford Hall
8/20/2018 20:00,87,Crawford Hall
8/20/2018 21:00,28,Crawford Hall
8/20/2018 22:00,17,Crawford Hall
8/20/2018 23:00,7,Crawford Hall
8/21/2018 0:00,9,Crawford Hall
8/21/2018 1:00,8,Crawford Hall
8/21/2018 2:00,7,Crawford Hall
8/21/2018 3:00,5,Crawford Hall
8/21/2018 4:00,6,Crawford Hall
8/21/2018 5:00,19,Crawford Hall
8/21/2018 6:00,60,Crawford Hall
8/21/2018 7:00,151,Crawford Hall
8/21/2018 8:00,488,Crawford Hall
8/21/2018 9:00,391,Crawford Hall
8/21/2018 10:00,816,Crawford Hall
8/21/2018 11:00,894,Crawford Hall
8/21/2018 12:00,510,Crawford Hall
8/21/2018 13:00,874,Crawford Hall
8/21/2018 14:00,699,Crawford Hall
8/21/2018 15:00,284,Crawford Hall
8/21/2018 16:00,427,Crawford Hall
8/21/2018 17:00,241,Crawford Hall
8/21/2018 18:00,112,Crawford Hall
8/21/2018 19:00,88,Crawford Hall
8/21/2018 20:00,48,Crawford Hall
8/21/2018 21:00,26,Crawford Hall
8/21/2018 22:00,18,Crawford Hall
8/21/2018 23:00,16,Crawford Hall
8/22/2018 0:00,11,Crawford Hall
8/22/2018 1:00,9,Crawford Hall
8/22/2018 2:00,8,Crawford Hall
8/22/2018 3:00,7,Crawford Hall
8/22/2018 4:00,8,Crawford Hall
8/22/2018 5:00,20,Crawford Hall
8/22/2018 6:00,90,Crawford Hall
8/22/2018 7:00,138,Crawford Hall
8/22/2018 8:00,460,Crawford Hall
8/22/2018 9:00,583,Crawford Hall
8/22/2018 10:00,610,Crawford Hall
8/22/2018 11:00,897,Crawford Hall
8/22/2018 12:00,771,Crawford Hall
8/22/2018 13:00,678,Crawford Hall
