time,lat,long,name,total
8/16/2018 11:00,21.300648,-157.817636,Webster Hall,201
8/16/2018 11:00,21.298472,-157.817582,Kuykendall Hall,229
8/16/2018 11:00,21.298403,-157.815835,Watanabe Hall,179
8/16/2018 11:00,21.299811,-157.815668,Keller Hall,309
8/16/2018 11:00,21.302869,-157.814705,Center for Microbial Oceanography Research and Education,19
8/16/2018 11:00,21.29883,-157.820546,Sinclair Library,316
8/16/2018 11:00,21.297695,-157.815048,East west Parking Kiosk,243
8/16/2018 11:00,21.299413,-157.815935,Physical Science Building,55
8/16/2018 11:00,21.297865,-157.816686,Hawai'i Institute of Geophysics,189
8/16/2018 11:00,21.299306,-157.815228,Kennedy Theater,153
8/16/2018 11:00,21.300289,-157.819455,Crawford Hall,181
8/16/2018 11:00,21.300946,-157.815943,Hamilton Library,249
8/16/2018 11:00,21.297927,-157.820377,Parking Kiosk,331
8/16/2018 11:00,21.299548,-157.817757,Art Building,347
8/16/2018 11:00,21.298412,-157.817309,Kuykendall Hall,195
8/16/2018 11:00,21.297994,-157.819594,Administration Services Building 2,249
8/16/2018 11:00,21.296259,-157.818389,Law School, 396
8/16/2018 11:00,
8/16/2018 11:00,
8/16/2018 11:00,
8/16/2018 11:00,
8/16/2018 11:00,
8/16/2018 11:00,
8/16/2018 11:00,
8/16/2018 11:00,
