date,number,name
8/16/2018 11:00,243,East west Parking Kiosk
8/16/2018 12:00,319,East west Parking Kiosk
8/16/2018 13:00,276,East west Parking Kiosk
8/16/2018 14:00,225,East west Parking Kiosk
8/16/2018 15:00,247,East west Parking Kiosk
8/16/2018 16:00,240,East west Parking Kiosk
8/16/2018 17:00,216,East west Parking Kiosk
8/16/2018 18:00,172,East west Parking Kiosk
8/16/2018 19:00,97,East west Parking Kiosk
8/16/2018 20:00,87,East west Parking Kiosk
8/16/2018 21:00,99,East west Parking Kiosk
8/16/2018 22:00,68,East west Parking Kiosk
8/16/2018 23:00,72,East west Parking Kiosk
8/17/2018 0:00,45,East west Parking Kiosk
8/17/2018 1:00,15,East west Parking Kiosk
8/17/2018 2:00,17,East west Parking Kiosk
8/17/2018 3:00,9,East west Parking Kiosk
8/17/2018 4:00,16,East west Parking Kiosk
8/17/2018 5:00,24,East west Parking Kiosk
8/17/2018 6:00,49,East west Parking Kiosk
8/17/2018 7:00,72,East west Parking Kiosk
8/17/2018 8:00,153,East west Parking Kiosk
8/17/2018 9:00,188,East west Parking Kiosk
8/17/2018 10:00,197,East west Parking Kiosk
8/17/2018 11:00,208,East west Parking Kiosk
8/17/2018 12:00,179,East west Parking Kiosk
8/17/2018 13:00,180,East west Parking Kiosk
8/17/2018 14:00,153,East west Parking Kiosk
8/17/2018 15:00,166,East west Parking Kiosk
8/17/2018 16:00,161,East west Parking Kiosk
8/17/2018 17:00,180,East west Parking Kiosk
8/17/2018 18:00,162,East west Parking Kiosk
8/17/2018 19:00,164,East west Parking Kiosk
8/17/2018 20:00,88,East west Parking Kiosk
8/17/2018 21:00,74,East west Parking Kiosk
8/17/2018 22:00,80,East west Parking Kiosk
8/17/2018 23:00,63,East west Parking Kiosk
8/18/2018 0:00,30,East west Parking Kiosk
8/18/2018 1:00,15,East west Parking Kiosk
8/18/2018 2:00,23,East west Parking Kiosk
8/18/2018 3:00,11,East west Parking Kiosk
8/18/2018 4:00,11,East west Parking Kiosk
8/18/2018 5:00,15,East west Parking Kiosk
8/18/2018 6:00,43,East west Parking Kiosk
8/18/2018 7:00,56,East west Parking Kiosk
8/18/2018 8:00,126,East west Parking Kiosk
8/18/2018 9:00,122,East west Parking Kiosk
8/18/2018 10:00,127,East west Parking Kiosk
8/18/2018 11:00,149,East west Parking Kiosk
8/18/2018 12:00,123,East west Parking Kiosk
8/18/2018 13:00,151,East west Parking Kiosk
8/18/2018 14:00,132,East west Parking Kiosk
8/18/2018 15:00,184,East west Parking Kiosk
8/18/2018 16:00,122,East west Parking Kiosk
8/18/2018 17:00,123,East west Parking Kiosk
8/18/2018 18:00,134,East west Parking Kiosk
8/18/2018 19:00,95,East west Parking Kiosk
8/18/2018 20:00,123,East west Parking Kiosk
8/18/2018 21:00,74,East west Parking Kiosk
8/18/2018 22:00,78,East west Parking Kiosk
8/18/2018 23:00,66,East west Parking Kiosk
8/19/2018 0:00,75,East west Parking Kiosk
8/19/2018 1:00,12,East west Parking Kiosk
8/19/2018 2:00,16,East west Parking Kiosk
8/19/2018 3:00,21,East west Parking Kiosk
8/19/2018 4:00,11,East west Parking Kiosk
8/19/2018 5:00,12,East west Parking Kiosk
8/19/2018 6:00,30,East west Parking Kiosk
8/19/2018 7:00,47,East west Parking Kiosk
8/19/2018 8:00,127,East west Parking Kiosk
8/19/2018 9:00,187,East west Parking Kiosk
8/19/2018 10:00,179,East west Parking Kiosk
8/19/2018 11:00,182,East west Parking Kiosk
8/19/2018 12:00,197,East west Parking Kiosk
8/19/2018 13:00,171,East west Parking Kiosk
8/19/2018 14:00,135,East west Parking Kiosk
8/19/2018 15:00,130,East west Parking Kiosk
8/19/2018 16:00,149,East west Parking Kiosk
8/19/2018 17:00,139,East west Parking Kiosk
8/19/2018 18:00,186,East west Parking Kiosk
8/19/2018 19:00,135,East west Parking Kiosk
8/19/2018 20:00,123,East west Parking Kiosk
8/19/2018 21:00,66,East west Parking Kiosk
8/19/2018 22:00,61,East west Parking Kiosk
8/19/2018 23:00,50,East west Parking Kiosk
8/20/2018 0:00,31,East west Parking Kiosk
8/20/2018 1:00,12,East west Parking Kiosk
8/20/2018 2:00,22,East west Parking Kiosk
8/20/2018 3:00,16,East west Parking Kiosk
8/20/2018 4:00,18,East west Parking Kiosk
8/20/2018 5:00,58,East west Parking Kiosk
8/20/2018 6:00,92,East west Parking Kiosk
8/20/2018 7:00,322,East west Parking Kiosk
8/20/2018 8:00,562,East west Parking Kiosk
8/20/2018 9:00,471,East west Parking Kiosk
8/20/2018 10:00,420,East west Parking Kiosk
8/20/2018 11:00,399,East west Parking Kiosk
8/20/2018 12:00,426,East west Parking Kiosk
8/20/2018 13:00,408,East west Parking Kiosk
8/20/2018 14:00,468,East west Parking Kiosk
8/20/2018 15:00,329,East west Parking Kiosk
8/20/2018 16:00,304,East west Parking Kiosk
8/20/2018 17:00,334,East west Parking Kiosk
8/20/2018 18:00,268,East west Parking Kiosk
8/20/2018 19:00,176,East west Parking Kiosk
8/20/2018 20:00,142,East west Parking Kiosk
8/20/2018 21:00,88,East west Parking Kiosk
8/20/2018 22:00,92,East west Parking Kiosk
8/20/2018 23:00,56,East west Parking Kiosk
8/21/2018 0:00,50,East west Parking Kiosk
8/21/2018 1:00,27,East west Parking Kiosk
8/21/2018 2:00,31,East west Parking Kiosk
8/21/2018 3:00,15,East west Parking Kiosk
8/21/2018 4:00,78,East west Parking Kiosk
8/21/2018 5:00,43,East west Parking Kiosk
8/21/2018 6:00,89,East west Parking Kiosk
8/21/2018 7:00,271,East west Parking Kiosk
8/21/2018 8:00,573,East west Parking Kiosk
8/21/2018 9:00,328,East west Parking Kiosk
8/21/2018 10:00,407,East west Parking Kiosk
8/21/2018 11:00,363,East west Parking Kiosk
