date,number,name
8/16/2018 11:00,372,Gateway House
8/16/2018 12:00,377,Gateway House
8/16/2018 13:00,262,Gateway House
8/16/2018 14:00,226,Gateway House
8/16/2018 15:00,235,Gateway House
8/16/2018 16:00,234,Gateway House
8/16/2018 17:00,327,Gateway House
8/16/2018 18:00,359,Gateway House
8/16/2018 19:00,367,Gateway House
8/16/2018 20:00,186,Gateway House
8/16/2018 21:00,136,Gateway House
8/16/2018 22:00,74,Gateway House
8/16/2018 23:00,46,Gateway House
8/17/2018 0:00,35,Gateway House
8/17/2018 1:00,13,Gateway House
8/17/2018 2:00,20,Gateway House
8/17/2018 3:00,21,Gateway House
8/17/2018 4:00,7,Gateway House
8/17/2018 5:00,28,Gateway House
8/17/2018 6:00,79,Gateway House
8/17/2018 7:00,159,Gateway House
8/17/2018 8:00,221,Gateway House
8/17/2018 9:00,251,Gateway House
8/17/2018 10:00,385,Gateway House
8/17/2018 11:00,452,Gateway House
8/17/2018 12:00,459,Gateway House
8/17/2018 13:00,497,Gateway House
8/17/2018 14:00,375,Gateway House
8/17/2018 15:00,231,Gateway House
8/17/2018 16:00,216,Gateway House
8/17/2018 17:00,325,Gateway House
8/17/2018 18:00,431,Gateway House
8/17/2018 19:00,455,Gateway House
8/17/2018 20:00,225,Gateway House
8/17/2018 21:00,140,Gateway House
8/17/2018 22:00,131,Gateway House
8/17/2018 23:00,92,Gateway House
8/18/2018 0:00,50,Gateway House
8/18/2018 1:00,41,Gateway House
8/18/2018 2:00,16,Gateway House
8/18/2018 3:00,4,Gateway House
8/18/2018 4:00,19,Gateway House
8/18/2018 5:00,19,Gateway House
8/18/2018 6:00,35,Gateway House
8/18/2018 7:00,91,Gateway House
8/18/2018 8:00,156,Gateway House
8/18/2018 9:00,190,Gateway House
8/18/2018 10:00,266,Gateway House
8/18/2018 11:00,279,Gateway House
8/18/2018 12:00,254,Gateway House
8/18/2018 13:00,271,Gateway House
8/18/2018 14:00,230,Gateway House
8/18/2018 15:00,244,Gateway House
8/18/2018 16:00,231,Gateway House
8/18/2018 17:00,237,Gateway House
8/18/2018 18:00,281,Gateway House
8/18/2018 19:00,291,Gateway House
8/18/2018 20:00,155,Gateway House
8/18/2018 21:00,162,Gateway House
8/18/2018 22:00,133,Gateway House
8/18/2018 23:00,85,Gateway House
8/19/2018 0:00,59,Gateway House
8/19/2018 1:00,44,Gateway House
8/19/2018 2:00,22,Gateway House
8/19/2018 3:00,21,Gateway House
8/19/2018 4:00,16,Gateway House
8/19/2018 5:00,17,Gateway House
8/19/2018 6:00,35,Gateway House
8/19/2018 7:00,54,Gateway House
8/19/2018 8:00,144,Gateway House
8/19/2018 9:00,230,Gateway House
8/19/2018 10:00,320,Gateway House
8/19/2018 11:00,381,Gateway House
8/19/2018 12:00,370,Gateway House
8/19/2018 13:00,333,Gateway House
8/19/2018 14:00,293,Gateway House
8/19/2018 15:00,315,Gateway House
8/19/2018 16:00,267,Gateway House
8/19/2018 17:00,301,Gateway House
8/19/2018 18:00,340,Gateway House
8/19/2018 19:00,299,Gateway House
8/19/2018 20:00,245,Gateway House
8/19/2018 21:00,160,Gateway House
8/19/2018 22:00,101,Gateway House
8/19/2018 23:00,92,Gateway House
8/20/2018 0:00,39,Gateway House
8/20/2018 1:00,11,Gateway House
8/20/2018 2:00,20,Gateway House
8/20/2018 3:00,16,Gateway House
8/20/2018 4:00,13,Gateway House
8/20/2018 5:00,126,Gateway House
8/20/2018 6:00,180,Gateway House
8/20/2018 7:00,559,Gateway House
8/20/2018 8:00,759,Gateway House
8/20/2018 9:00,735,Gateway House
8/20/2018 10:00,562,Gateway House
8/20/2018 11:00,644,Gateway House
8/20/2018 12:00,670,Gateway House
8/20/2018 13:00,708,Gateway House
8/20/2018 14:00,669,Gateway House
8/20/2018 15:00,594,Gateway House
8/20/2018 16:00,689,Gateway House
8/20/2018 17:00,657,Gateway House
8/20/2018 18:00,606,Gateway House
8/20/2018 19:00,470,Gateway House
8/20/2018 20:00,317,Gateway House
8/20/2018 21:00,204,Gateway House
8/20/2018 22:00,128,Gateway House
8/20/2018 23:00,72,Gateway House
8/21/2018 0:00,45,Gateway House
8/21/2018 1:00,30,Gateway House
8/21/2018 2:00,20,Gateway House
8/21/2018 3:00,6,Gateway House
8/21/2018 4:00,37,Gateway House
8/21/2018 5:00,127,Gateway House
8/21/2018 6:00,243,Gateway House
8/21/2018 7:00,495,Gateway House
8/21/2018 8:00,1447,Gateway House
8/21/2018 9:00,550,Gateway House
8/21/2018 10:00,743,Gateway House
8/21/2018 11:00,791,Gateway House
8/21/2018 12:00,576,Gateway House
8/21/2018 13:00,765,Gateway House
8/21/2018 14:00,674,Gateway House
8/21/2018 15:00,194,Gateway House
8/21/2018 16:00,757,Gateway House
8/21/2018 17:00,782,Gateway House
8/21/2018 18:00,657,Gateway House
8/21/2018 19:00,610,Gateway House
8/21/2018 20:00,430,Gateway House
8/21/2018 21:00,292,Gateway House
8/21/2018 22:00,159,Gateway House
8/21/2018 23:00,76,Gateway House
8/22/2018 0:00,39,Gateway House
8/22/2018 1:00,34,Gateway House
8/22/2018 2:00,19,Gateway House
8/22/2018 3:00,4,Gateway House
8/22/2018 4:00,20,Gateway House
8/22/2018 5:00,133,Gateway House
8/22/2018 6:00,358,Gateway House
8/22/2018 7:00,648,Gateway House
8/22/2018 8:00,863,Gateway House
8/22/2018 9:00,820,Gateway House
8/22/2018 10:00,738,Gateway House
8/22/2018 11:00,677,Gateway House
8/22/2018 12:00,761,Gateway House
8/22/2018 13:00,834,Gateway House
