date,number,name
8/16/2018 11:00,189,Hawaii Institute of Geophysics
8/16/2018 12:00,251,Hawaii Institute of Geophysics
8/16/2018 13:00,207,Hawaii Institute of Geophysics
8/16/2018 14:00,141,Hawaii Institute of Geophysics
8/16/2018 15:00,209,Hawaii Institute of Geophysics
8/16/2018 16:00,154,Hawaii Institute of Geophysics
8/16/2018 17:00,105,Hawaii Institute of Geophysics
8/16/2018 18:00,81,Hawaii Institute of Geophysics
8/16/2018 19:00,38,Hawaii Institute of Geophysics
8/16/2018 20:00,29,Hawaii Institute of Geophysics
8/16/2018 21:00,21,Hawaii Institute of Geophysics
8/16/2018 22:00,23,Hawaii Institute of Geophysics
8/16/2018 23:00,15,Hawaii Institute of Geophysics
8/17/2018 0:00,19,Hawaii Institute of Geophysics
8/17/2018 1:00,16,Hawaii Institute of Geophysics
8/17/2018 2:00,19,Hawaii Institute of Geophysics
8/17/2018 3:00,17,Hawaii Institute of Geophysics
8/17/2018 4:00,16,Hawaii Institute of Geophysics
8/17/2018 5:00,17,Hawaii Institute of Geophysics
8/17/2018 6:00,23,Hawaii Institute of Geophysics
8/17/2018 7:00,46,Hawaii Institute of Geophysics
8/17/2018 8:00,107,Hawaii Institute of Geophysics
8/17/2018 9:00,96,Hawaii Institute of Geophysics
8/17/2018 10:00,142,Hawaii Institute of Geophysics
8/17/2018 11:00,94,Hawaii Institute of Geophysics
8/17/2018 12:00,126,Hawaii Institute of Geophysics
8/17/2018 13:00,127,Hawaii Institute of Geophysics
8/17/2018 14:00,75,Hawaii Institute of Geophysics
8/17/2018 15:00,58,Hawaii Institute of Geophysics
8/17/2018 16:00,67,Hawaii Institute of Geophysics
8/17/2018 17:00,51,Hawaii Institute of Geophysics
8/17/2018 18:00,38,Hawaii Institute of Geophysics
8/17/2018 19:00,31,Hawaii Institute of Geophysics
8/17/2018 20:00,28,Hawaii Institute of Geophysics
8/17/2018 21:00,30,Hawaii Institute of Geophysics
8/17/2018 22:00,25,Hawaii Institute of Geophysics
8/17/2018 23:00,23,Hawaii Institute of Geophysics
8/18/2018 0:00,15,Hawaii Institute of Geophysics
8/18/2018 1:00,14,Hawaii Institute of Geophysics
8/18/2018 2:00,15,Hawaii Institute of Geophysics
8/18/2018 3:00,15,Hawaii Institute of Geophysics
8/18/2018 4:00,14,Hawaii Institute of Geophysics
8/18/2018 5:00,15,Hawaii Institute of Geophysics
8/18/2018 6:00,19,Hawaii Institute of Geophysics
8/18/2018 7:00,19,Hawaii Institute of Geophysics
8/18/2018 8:00,44,Hawaii Institute of Geophysics
8/18/2018 9:00,45,Hawaii Institute of Geophysics
8/18/2018 10:00,52,Hawaii Institute of Geophysics
8/18/2018 11:00,42,Hawaii Institute of Geophysics
8/18/2018 12:00,69,Hawaii Institute of Geophysics
8/18/2018 13:00,50,Hawaii Institute of Geophysics
8/18/2018 14:00,44,Hawaii Institute of Geophysics
8/18/2018 15:00,37,Hawaii Institute of Geophysics
8/18/2018 16:00,45,Hawaii Institute of Geophysics
8/18/2018 17:00,39,Hawaii Institute of Geophysics
8/18/2018 18:00,29,Hawaii Institute of Geophysics
8/18/2018 19:00,21,Hawaii Institute of Geophysics
8/18/2018 20:00,23,Hawaii Institute of Geophysics
8/18/2018 21:00,20,Hawaii Institute of Geophysics
8/18/2018 22:00,21,Hawaii Institute of Geophysics
8/18/2018 23:00,19,Hawaii Institute of Geophysics
8/19/2018 0:00,21,Hawaii Institute of Geophysics
8/19/2018 1:00,18,Hawaii Institute of Geophysics
8/19/2018 2:00,16,Hawaii Institute of Geophysics
8/19/2018 3:00,15,Hawaii Institute of Geophysics
8/19/2018 4:00,17,Hawaii Institute of Geophysics
8/19/2018 5:00,19,Hawaii Institute of Geophysics
8/19/2018 6:00,17,Hawaii Institute of Geophysics
8/19/2018 7:00,19,Hawaii Institute of Geophysics
8/19/2018 8:00,30,Hawaii Institute of Geophysics
8/19/2018 9:00,51,Hawaii Institute of Geophysics
8/19/2018 10:00,45,Hawaii Institute of Geophysics
8/19/2018 11:00,74,Hawaii Institute of Geophysics
8/19/2018 12:00,73,Hawaii Institute of Geophysics
8/19/2018 13:00,60,Hawaii Institute of Geophysics
8/19/2018 14:00,60,Hawaii Institute of Geophysics
8/19/2018 15:00,67,Hawaii Institute of Geophysics
8/19/2018 16:00,74,Hawaii Institute of Geophysics
8/19/2018 17:00,47,Hawaii Institute of Geophysics
8/19/2018 18:00,42,Hawaii Institute of Geophysics
8/19/2018 19:00,46,Hawaii Institute of Geophysics
8/19/2018 20:00,31,Hawaii Institute of Geophysics
8/19/2018 21:00,28,Hawaii Institute of Geophysics
8/19/2018 22:00,27,Hawaii Institute of Geophysics
8/19/2018 23:00,23,Hawaii Institute of Geophysics
8/20/2018 0:00,15,Hawaii Institute of Geophysics
8/20/2018 1:00,17,Hawaii Institute of Geophysics
8/20/2018 2:00,19,Hawaii Institute of Geophysics
8/20/2018 3:00,19,Hawaii Institute of Geophysics
8/20/2018 4:00,18,Hawaii Institute of Geophysics
8/20/2018 5:00,36,Hawaii Institute of Geophysics
8/20/2018 6:00,83,Hawaii Institute of Geophysics
8/20/2018 7:00,222,Hawaii Institute of Geophysics
8/20/2018 8:00,391,Hawaii Institute of Geophysics
8/20/2018 9:00,657,Hawaii Institute of Geophysics
8/20/2018 10:00,810,Hawaii Institute of Geophysics
8/20/2018 11:00,867,Hawaii Institute of Geophysics
8/20/2018 12:00,669,Hawaii Institute of Geophysics
8/20/2018 13:00,685,Hawaii Institute of Geophysics
8/20/2018 14:00,596,Hawaii Institute of Geophysics
8/20/2018 15:00,376,Hawaii Institute of Geophysics
8/20/2018 16:00,480,Hawaii Institute of Geophysics
8/20/2018 17:00,297,Hawaii Institute of Geophysics
8/20/2018 18:00,146,Hawaii Institute of Geophysics
8/20/2018 19:00,114,Hawaii Institute of Geophysics
8/20/2018 20:00,109,Hawaii Institute of Geophysics
8/20/2018 21:00,52,Hawaii Institute of Geophysics
8/20/2018 22:00,32,Hawaii Institute of Geophysics
8/20/2018 23:00,23,Hawaii Institute of Geophysics
8/21/2018 0:00,20,Hawaii Institute of Geophysics
8/21/2018 1:00,18,Hawaii Institute of Geophysics
8/21/2018 2:00,20,Hawaii Institute of Geophysics
8/21/2018 3:00,19,Hawaii Institute of Geophysics
8/21/2018 4:00,18,Hawaii Institute of Geophysics
8/21/2018 5:00,36,Hawaii Institute of Geophysics
8/21/2018 6:00,77,Hawaii Institute of Geophysics
8/21/2018 7:00,177,Hawaii Institute of Geophysics
8/21/2018 8:00,525,Hawaii Institute of Geophysics
8/21/2018 9:00,432,Hawaii Institute of Geophysics
8/21/2018 10:00,820,Hawaii Institute of Geophysics
8/21/2018 11:00,954,Hawaii Institute of Geophysics
8/21/2018 12:00,544,Hawaii Institute of Geophysics
8/21/2018 13:00,690,Hawaii Institute of Geophysics
8/21/2018 14:00,605,Hawaii Institute of Geophysics
8/21/2018 15:00,345,Hawaii Institute of Geophysics
8/21/2018 16:00,395,Hawaii Institute of Geophysics
8/21/2018 17:00,229,Hawaii Institute of Geophysics
8/21/2018 18:00,187,Hawaii Institute of Geophysics
8/21/2018 19:00,90,Hawaii Institute of Geophysics
8/21/2018 20:00,48,Hawaii Institute of Geophysics
8/21/2018 21:00,50,Hawaii Institute of Geophysics
8/21/2018 22:00,28,Hawaii Institute of Geophysics
8/21/2018 23:00,19,Hawaii Institute of Geophysics
8/22/2018 0:00,21,Hawaii Institute of Geophysics
8/22/2018 1:00,20,Hawaii Institute of Geophysics
8/22/2018 2:00,18,Hawaii Institute of Geophysics
8/22/2018 3:00,18,Hawaii Institute of Geophysics
8/22/2018 4:00,19,Hawaii Institute of Geophysics
8/22/2018 5:00,27,Hawaii Institute of Geophysics
8/22/2018 6:00,57,Hawaii Institute of Geophysics
8/22/2018 7:00,166,Hawaii Institute of Geophysics
8/22/2018 8:00,380,Hawaii Institute of Geophysics
8/22/2018 9:00,578,Hawaii Institute of Geophysics
8/22/2018 10:00,730,Hawaii Institute of Geophysics
8/22/2018 11:00,820,Hawaii Institute of Geophysics
8/22/2018 12:00,807,Hawaii Institute of Geophysics
8/22/2018 13:00,600,Hawaii Institute of Geophysics
