date,number,name
8/16/2018 11:00,309,Keller Hall
8/16/2018 12:00,396,Keller Hall
8/16/2018 13:00,363,Keller Hall
8/16/2018 14:00,249,Keller Hall
8/16/2018 15:00,269,Keller Hall
8/16/2018 16:00,197,Keller Hall
8/16/2018 17:00,136,Keller Hall
8/16/2018 18:00,96,Keller Hall
8/16/2018 19:00,35,Keller Hall
8/16/2018 20:00,23,Keller Hall
8/16/2018 21:00,25,Keller Hall
8/16/2018 22:00,20,Keller Hall
8/16/2018 23:00,27,Keller Hall
8/17/2018 0:00,11,Keller Hall
8/17/2018 1:00,11,Keller Hall
8/17/2018 2:00,10,Keller Hall
8/17/2018 3:00,11,Keller Hall
8/17/2018 4:00,11,Keller Hall
8/17/2018 5:00,14,Keller Hall
8/17/2018 6:00,20,Keller Hall
8/17/2018 7:00,38,Keller Hall
8/17/2018 8:00,41,Keller Hall
8/17/2018 9:00,81,Keller Hall
8/17/2018 10:00,108,Keller Hall
8/17/2018 11:00,110,Keller Hall
8/17/2018 12:00,108,Keller Hall
8/17/2018 13:00,117,Keller Hall
8/17/2018 14:00,66,Keller Hall
8/17/2018 15:00,54,Keller Hall
8/17/2018 16:00,55,Keller Hall
8/17/2018 17:00,47,Keller Hall
8/17/2018 18:00,40,Keller Hall
8/17/2018 19:00,47,Keller Hall
8/17/2018 20:00,29,Keller Hall
8/17/2018 21:00,22,Keller Hall
8/17/2018 22:00,20,Keller Hall
8/17/2018 23:00,16,Keller Hall
8/18/2018 0:00,16,Keller Hall
8/18/2018 1:00,12,Keller Hall
8/18/2018 2:00,11,Keller Hall
8/18/2018 3:00,9,Keller Hall
8/18/2018 4:00,11,Keller Hall
8/18/2018 5:00,11,Keller Hall
8/18/2018 6:00,15,Keller Hall
8/18/2018 7:00,36,Keller Hall
8/18/2018 8:00,53,Keller Hall
8/18/2018 9:00,32,Keller Hall
8/18/2018 10:00,46,Keller Hall
8/18/2018 11:00,63,Keller Hall
8/18/2018 12:00,71,Keller Hall
8/18/2018 13:00,48,Keller Hall
8/18/2018 14:00,48,Keller Hall
8/18/2018 15:00,45,Keller Hall
8/18/2018 16:00,46,Keller Hall
8/18/2018 17:00,39,Keller Hall
8/18/2018 18:00,27,Keller Hall
8/18/2018 19:00,24,Keller Hall
8/18/2018 20:00,19,Keller Hall
8/18/2018 21:00,21,Keller Hall
8/18/2018 22:00,20,Keller Hall
