date,number,name
8/16/2018 11:00,153,Kennedy Theater
8/16/2018 12:00,159,Kennedy Theater
8/16/2018 13:00,188,Kennedy Theater
8/16/2018 14:00,123,Kennedy Theater
8/16/2018 15:00,153,Kennedy Theater
8/16/2018 16:00,139,Kennedy Theater
8/16/2018 17:00,116,Kennedy Theater
8/16/2018 18:00,132,Kennedy Theater
8/16/2018 19:00,75,Kennedy Theater
8/16/2018 20:00,43,Kennedy Theater
8/16/2018 21:00,55,Kennedy Theater
8/16/2018 22:00,57,Kennedy Theater
8/16/2018 23:00,47,Kennedy Theater
8/17/2018 0:00,19,Kennedy Theater
8/17/2018 1:00,6,Kennedy Theater
8/17/2018 2:00,7,Kennedy Theater
8/17/2018 3:00,5,Kennedy Theater
8/17/2018 4:00,10,Kennedy Theater
8/17/2018 5:00,14,Kennedy Theater
8/17/2018 6:00,20,Kennedy Theater
8/17/2018 7:00,35,Kennedy Theater
8/17/2018 8:00,93,Kennedy Theater
8/17/2018 9:00,102,Kennedy Theater
8/17/2018 10:00,140,Kennedy Theater
8/17/2018 11:00,105,Kennedy Theater
8/17/2018 12:00,112,Kennedy Theater
8/17/2018 13:00,115,Kennedy Theater
8/17/2018 14:00,104,Kennedy Theater
8/17/2018 15:00,108,Kennedy Theater
8/17/2018 16:00,132,Kennedy Theater
8/17/2018 17:00,120,Kennedy Theater
8/17/2018 18:00,70,Kennedy Theater
8/17/2018 19:00,82,Kennedy Theater
8/17/2018 20:00,50,Kennedy Theater
8/17/2018 21:00,35,Kennedy Theater
8/17/2018 22:00,53,Kennedy Theater
8/17/2018 23:00,36,Kennedy Theater
8/18/2018 0:00,13,Kennedy Theater
8/18/2018 1:00,10,Kennedy Theater
8/18/2018 2:00,7,Kennedy Theater
8/18/2018 3:00,6,Kennedy Theater
8/18/2018 4:00,5,Kennedy Theater
8/18/2018 5:00,7,Kennedy Theater
8/18/2018 6:00,20,Kennedy Theater
8/18/2018 7:00,21,Kennedy Theater
8/18/2018 8:00,60,Kennedy Theater
8/18/2018 9:00,56,Kennedy Theater
8/18/2018 10:00,50,Kennedy Theater
8/18/2018 11:00,80,Kennedy Theater
8/18/2018 12:00,60,Kennedy Theater
8/18/2018 13:00,82,Kennedy Theater
8/18/2018 14:00,66,Kennedy Theater
8/18/2018 15:00,59,Kennedy Theater
8/18/2018 16:00,69,Kennedy Theater
8/18/2018 17:00,69,Kennedy Theater
8/18/2018 18:00,79,Kennedy Theater
8/18/2018 19:00,54,Kennedy Theater
8/18/2018 20:00,56,Kennedy Theater
8/18/2018 21:00,42,Kennedy Theater
8/18/2018 22:00,37,Kennedy Theater
8/18/2018 23:00,53,Kennedy Theater
8/19/2018 0:00,20,Kennedy Theater
8/19/2018 1:00,7,Kennedy Theater
8/19/2018 2:00,7,Kennedy Theater
8/19/2018 3:00,5,Kennedy Theater
8/19/2018 4:00,3,Kennedy Theater
8/19/2018 5:00,10,Kennedy Theater
8/19/2018 6:00,13,Kennedy Theater
8/19/2018 7:00,32,Kennedy Theater
8/19/2018 8:00,63,Kennedy Theater
8/19/2018 9:00,82,Kennedy Theater
8/19/2018 10:00,221,Kennedy Theater
8/19/2018 11:00,245,Kennedy Theater
8/19/2018 12:00,87,Kennedy Theater
8/19/2018 13:00,86,Kennedy Theater
8/19/2018 14:00,92,Kennedy Theater
8/19/2018 15:00,73,Kennedy Theater
8/19/2018 16:00,85,Kennedy Theater
8/19/2018 17:00,93,Kennedy Theater
8/19/2018 18:00,99,Kennedy Theater
8/19/2018 19:00,71,Kennedy Theater
8/19/2018 20:00,66,Kennedy Theater
8/19/2018 21:00,36,Kennedy Theater
8/19/2018 22:00,41,Kennedy Theater
8/19/2018 23:00,26,Kennedy Theater
8/20/2018 0:00,8,Kennedy Theater
8/20/2018 1:00,5,Kennedy Theater
8/20/2018 2:00,3,Kennedy Theater
8/20/2018 3:00,2,Kennedy Theater
8/20/2018 4:00,4,Kennedy Theater
8/20/2018 5:00,13,Kennedy Theater
8/20/2018 6:00,72,Kennedy Theater
8/20/2018 7:00,144,Kennedy Theater
8/20/2018 8:00,240,Kennedy Theater
8/20/2018 9:00,235,Kennedy Theater
8/20/2018 10:00,236,Kennedy Theater
8/20/2018 11:00,255,Kennedy Theater
8/20/2018 12:00,267,Kennedy Theater
8/20/2018 13:00,254,Kennedy Theater
8/20/2018 14:00,265,Kennedy Theater
8/20/2018 15:00,208,Kennedy Theater
8/20/2018 16:00,176,Kennedy Theater
8/20/2018 17:00,184,Kennedy Theater
8/20/2018 18:00,139,Kennedy Theater
8/20/2018 19:00,111,Kennedy Theater
8/20/2018 20:00,65,Kennedy Theater
8/20/2018 21:00,62,Kennedy Theater
8/20/2018 22:00,41,Kennedy Theater
8/20/2018 23:00,27,Kennedy Theater
8/21/2018 0:00,23,Kennedy Theater
8/21/2018 1:00,6,Kennedy Theater
8/21/2018 2:00,6,Kennedy Theater
8/21/2018 3:00,4,Kennedy Theater
8/21/2018 4:00,49,Kennedy Theater
8/21/2018 5:00,22,Kennedy Theater
8/21/2018 6:00,41,Kennedy Theater
8/21/2018 7:00,135,Kennedy Theater
8/21/2018 8:00,274,Kennedy Theater
8/21/2018 9:00,195,Kennedy Theater
8/21/2018 10:00,319,Kennedy Theater
8/21/2018 11:00,260,Kennedy Theater
8/21/2018 12:00,186,Kennedy Theater
8/21/2018 13:00,252,Kennedy Theater
8/21/2018 14:00,314,Kennedy Theater
8/21/2018 15:00,177,Kennedy Theater
8/21/2018 16:00,198,Kennedy Theater
8/21/2018 17:00,163,Kennedy Theater
8/21/2018 18:00,115,Kennedy Theater
8/21/2018 19:00,102,Kennedy Theater
8/21/2018 20:00,76,Kennedy Theater
8/21/2018 21:00,67,Kennedy Theater
8/21/2018 22:00,34,Kennedy Theater
8/21/2018 23:00,18,Kennedy Theater
