date,number,name
8/16/2018 11:00,229,Kuykendall Hall
8/16/2018 12:00,297,Kuykendall Hall
8/16/2018 13:00,215,Kuykendall Hall
8/16/2018 14:00,161,Kuykendall Hall
8/16/2018 15:00,195,Kuykendall Hall
8/16/2018 16:00,137,Kuykendall Hall
8/16/2018 17:00,99,Kuykendall Hall
8/16/2018 18:00,109,Kuykendall Hall
8/16/2018 19:00,53,Kuykendall Hall
8/16/2018 20:00,20,Kuykendall Hall
8/16/2018 21:00,19,Kuykendall Hall
8/16/2018 22:00,20,Kuykendall Hall
8/16/2018 23:00,19,Kuykendall Hall
8/17/2018 0:00,15,Kuykendall Hall
8/17/2018 1:00,14,Kuykendall Hall
8/17/2018 2:00,12,Kuykendall Hall
8/17/2018 3:00,11,Kuykendall Hall
8/17/2018 4:00,12,Kuykendall Hall
8/17/2018 5:00,12,Kuykendall Hall
8/17/2018 6:00,26,Kuykendall Hall
8/17/2018 7:00,54,Kuykendall Hall
8/17/2018 8:00,96,Kuykendall Hall
8/17/2018 9:00,96,Kuykendall Hall
8/17/2018 10:00,107,Kuykendall Hall
8/17/2018 11:00,93,Kuykendall Hall
8/17/2018 12:00,104,Kuykendall Hall
8/17/2018 13:00,106,Kuykendall Hall
8/17/2018 14:00,55,Kuykendall Hall
8/17/2018 15:00,40,Kuykendall Hall
8/17/2018 16:00,31,Kuykendall Hall
8/17/2018 17:00,47,Kuykendall Hall
8/17/2018 18:00,134,Kuykendall Hall
8/17/2018 19:00,54,Kuykendall Hall
8/17/2018 20:00,18,Kuykendall Hall
8/17/2018 21:00,16,Kuykendall Hall
8/17/2018 22:00,18,Kuykendall Hall
8/17/2018 23:00,21,Kuykendall Hall
8/18/2018 0:00,11,Kuykendall Hall
8/18/2018 1:00,12,Kuykendall Hall
8/18/2018 2:00,9,Kuykendall Hall
8/18/2018 3:00,8,Kuykendall Hall
8/18/2018 4:00,7,Kuykendall Hall
8/18/2018 5:00,11,Kuykendall Hall
8/18/2018 6:00,14,Kuykendall Hall
8/18/2018 7:00,15,Kuykendall Hall
8/18/2018 8:00,40,Kuykendall Hall
8/18/2018 9:00,73,Kuykendall Hall
8/18/2018 10:00,67,Kuykendall Hall
8/18/2018 11:00,89,Kuykendall Hall
8/18/2018 12:00,91,Kuykendall Hall
8/18/2018 13:00,74,Kuykendall Hall
8/18/2018 14:00,60,Kuykendall Hall
8/18/2018 15:00,56,Kuykendall Hall
8/18/2018 16:00,53,Kuykendall Hall
8/18/2018 17:00,66,Kuykendall Hall
8/18/2018 18:00,34,Kuykendall Hall
8/18/2018 19:00,18,Kuykendall Hall
8/18/2018 20:00,17,Kuykendall Hall
8/18/2018 21:00,11,Kuykendall Hall
8/18/2018 22:00,16,Kuykendall Hall
8/18/2018 23:00,11,Kuykendall Hall
8/19/2018 0:00,16,Kuykendall Hall
8/19/2018 1:00,11,Kuykendall Hall
8/19/2018 2:00,9,Kuykendall Hall
8/19/2018 3:00,9,Kuykendall Hall
8/19/2018 4:00,10,Kuykendall Hall
8/19/2018 5:00,9,Kuykendall Hall
8/19/2018 6:00,12,Kuykendall Hall
8/19/2018 7:00,19,Kuykendall Hall
8/19/2018 8:00,58,Kuykendall Hall
8/19/2018 9:00,77,Kuykendall Hall
8/19/2018 10:00,87,Kuykendall Hall
8/19/2018 11:00,131,Kuykendall Hall
8/19/2018 12:00,99,Kuykendall Hall
8/19/2018 13:00,82,Kuykendall Hall
8/19/2018 14:00,83,Kuykendall Hall
8/19/2018 15:00,118,Kuykendall Hall
8/19/2018 16:00,88,Kuykendall Hall
8/19/2018 17:00,63,Kuykendall Hall
8/19/2018 18:00,46,Kuykendall Hall
8/19/2018 19:00,53,Kuykendall Hall
8/19/2018 20:00,27,Kuykendall Hall
8/19/2018 21:00,15,Kuykendall Hall
8/19/2018 22:00,18,Kuykendall Hall
8/19/2018 23:00,13,Kuykendall Hall
8/20/2018 0:00,9,Kuykendall Hall
8/20/2018 1:00,9,Kuykendall Hall
8/20/2018 2:00,11,Kuykendall Hall
8/20/2018 3:00,10,Kuykendall Hall
8/20/2018 4:00,12,Kuykendall Hall
8/20/2018 5:00,34,Kuykendall Hall
8/20/2018 6:00,100,Kuykendall Hall
8/20/2018 7:00,285,Kuykendall Hall
8/20/2018 8:00,650,Kuykendall Hall
8/20/2018 9:00,984,Kuykendall Hall
8/20/2018 10:00,1078,Kuykendall Hall
8/20/2018 11:00,1051,Kuykendall Hall
8/20/2018 12:00,961,Kuykendall Hall
8/20/2018 13:00,1010,Kuykendall Hall
8/20/2018 14:00,920,Kuykendall Hall
8/20/2018 15:00,621,Kuykendall Hall
8/20/2018 16:00,674,Kuykendall Hall
8/20/2018 17:00,331,Kuykendall Hall
8/20/2018 18:00,215,Kuykendall Hall
8/20/2018 19:00,105,Kuykendall Hall
8/20/2018 20:00,84,Kuykendall Hall
8/20/2018 21:00,51,Kuykendall Hall
8/20/2018 22:00,60,Kuykendall Hall
8/20/2018 23:00,14,Kuykendall Hall
8/21/2018 0:00,15,Kuykendall Hall
8/21/2018 1:00,11,Kuykendall Hall
8/21/2018 2:00,12,Kuykendall Hall
8/21/2018 3:00,12,Kuykendall Hall
8/21/2018 4:00,13,Kuykendall Hall
8/21/2018 5:00,32,Kuykendall Hall
8/21/2018 6:00,88,Kuykendall Hall
8/21/2018 7:00,230,Kuykendall Hall
8/21/2018 8:00,803,Kuykendall Hall
8/21/2018 9:00,751,Kuykendall Hall
8/21/2018 10:00,1080,Kuykendall Hall
8/21/2018 11:00,1209,Kuykendall Hall
8/21/2018 12:00,660,Kuykendall Hall
8/21/2018 13:00,1034,Kuykendall Hall
8/21/2018 14:00,899,Kuykendall Hall
8/21/2018 15:00,482,Kuykendall Hall
8/21/2018 16:00,413,Kuykendall Hall
8/21/2018 17:00,234,Kuykendall Hall
8/21/2018 18:00,156,Kuykendall Hall
8/21/2018 19:00,93,Kuykendall Hall
8/21/2018 20:00,63,Kuykendall Hall
8/21/2018 21:00,62,Kuykendall Hall
8/21/2018 22:00,51,Kuykendall Hall
8/21/2018 23:00,18,Kuykendall Hall
8/22/2018 0:00,14,Kuykendall Hall
8/22/2018 1:00,12,Kuykendall Hall
8/22/2018 2:00,10,Kuykendall Hall
8/22/2018 3:00,11,Kuykendall Hall
8/22/2018 4:00,12,Kuykendall Hall
8/22/2018 5:00,38,Kuykendall Hall
8/22/2018 6:00,56,Kuykendall Hall
8/22/2018 7:00,199,Kuykendall Hall
8/22/2018 8:00,664,Kuykendall Hall
8/22/2018 9:00,764,Kuykendall Hall
8/22/2018 10:00,877,Kuykendall Hall
8/22/2018 11:00,946,Kuykendall Hall
8/22/2018 12:00,1077,Kuykendall Hall
8/22/2018 13:00,1137,Kuykendall Hall
