date,number,name
8/16/2018 11:00,195,Kuykendall Hall E
8/16/2018 12:00,221,Kuykendall Hall E
8/16/2018 13:00,114,Kuykendall Hall E
8/16/2018 14:00,87,Kuykendall Hall E
8/16/2018 15:00,94,Kuykendall Hall E
8/16/2018 16:00,74,Kuykendall Hall E
8/16/2018 17:00,27,Kuykendall Hall E
8/16/2018 18:00,23,Kuykendall Hall E
8/16/2018 19:00,10,Kuykendall Hall E
8/16/2018 20:00,7,Kuykendall Hall E
8/16/2018 21:00,8,Kuykendall Hall E
8/16/2018 22:00,8,Kuykendall Hall E
8/16/2018 23:00,8,Kuykendall Hall E
8/17/2018 0:00,8,Kuykendall Hall E
8/17/2018 1:00,7,Kuykendall Hall E
8/17/2018 2:00,7,Kuykendall Hall E
8/17/2018 3:00,7,Kuykendall Hall E
8/17/2018 4:00,7,Kuykendall Hall E
8/17/2018 5:00,8,Kuykendall Hall E
8/17/2018 6:00,8,Kuykendall Hall E
8/17/2018 7:00,17,Kuykendall Hall E
8/17/2018 8:00,28,Kuykendall Hall E
8/17/2018 9:00,30,Kuykendall Hall E
8/17/2018 10:00,47,Kuykendall Hall E
8/17/2018 11:00,44,Kuykendall Hall E
8/17/2018 12:00,58,Kuykendall Hall E
8/17/2018 13:00,56,Kuykendall Hall E
8/17/2018 14:00,30,Kuykendall Hall E
8/17/2018 15:00,19,Kuykendall Hall E
8/17/2018 16:00,18,Kuykendall Hall E
8/17/2018 17:00,20,Kuykendall Hall E
8/17/2018 18:00,117,Kuykendall Hall E
8/17/2018 19:00,7,Kuykendall Hall E
8/17/2018 20:00,9,Kuykendall Hall E
8/17/2018 21:00,7,Kuykendall Hall E
8/17/2018 22:00,9,Kuykendall Hall E
8/17/2018 23:00,7,Kuykendall Hall E
8/18/2018 0:00,6,Kuykendall Hall E
8/18/2018 1:00,8,Kuykendall Hall E
8/18/2018 2:00,5,Kuykendall Hall E
8/18/2018 3:00,5,Kuykendall Hall E
8/18/2018 4:00,5,Kuykendall Hall E
8/18/2018 5:00,5,Kuykendall Hall E
8/18/2018 6:00,8,Kuykendall Hall E
8/18/2018 7:00,7,Kuykendall Hall E
8/18/2018 8:00,16,Kuykendall Hall E
8/18/2018 9:00,20,Kuykendall Hall E
8/18/2018 10:00,27,Kuykendall Hall E
8/18/2018 11:00,19,Kuykendall Hall E
8/18/2018 12:00,20,Kuykendall Hall E
8/18/2018 13:00,29,Kuykendall Hall E
8/18/2018 14:00,22,Kuykendall Hall E
8/18/2018 15:00,12,Kuykendall Hall E
8/18/2018 16:00,18,Kuykendall Hall E
8/18/2018 17:00,18,Kuykendall Hall E
8/18/2018 18:00,9,Kuykendall Hall E
8/18/2018 19:00,7,Kuykendall Hall E
8/18/2018 20:00,7,Kuykendall Hall E
8/18/2018 21:00,5,Kuykendall Hall E
8/18/2018 22:00,7,Kuykendall Hall E
8/18/2018 23:00,7,Kuykendall Hall E
8/19/2018 0:00,7,Kuykendall Hall E
8/19/2018 1:00,7,Kuykendall Hall E
