date,number,name
8/16/2018 11:00,499,Law Library
8/16/2018 12:00,520,Law Library
8/16/2018 13:00,404,Law Library
8/16/2018 14:00,335,Law Library
8/16/2018 15:00,394,Law Library
8/16/2018 16:00,400,Law Library
8/16/2018 17:00,316,Law Library
8/16/2018 18:00,279,Law Library
8/16/2018 19:00,168,Law Library
8/16/2018 20:00,130,Law Library
8/16/2018 21:00,103,Law Library
8/16/2018 22:00,57,Law Library
8/16/2018 23:00,39,Law Library
8/17/2018 0:00,39,Law Library
8/17/2018 1:00,23,Law Library
8/17/2018 2:00,16,Law Library
8/17/2018 3:00,24,Law Library
8/17/2018 4:00,24,Law Library
8/17/2018 5:00,31,Law Library
8/17/2018 6:00,71,Law Library
8/17/2018 7:00,122,Law Library
8/17/2018 8:00,210,Law Library
8/17/2018 9:00,218,Law Library
8/17/2018 10:00,260,Law Library
8/17/2018 11:00,329,Law Library
8/17/2018 12:00,313,Law Library
8/17/2018 13:00,327,Law Library
8/17/2018 14:00,292,Law Library
8/17/2018 15:00,247,Law Library
8/17/2018 16:00,282,Law Library
8/17/2018 17:00,212,Law Library
8/17/2018 18:00,202,Law Library
8/17/2018 19:00,205,Law Library
8/17/2018 20:00,122,Law Library
8/17/2018 21:00,133,Law Library
8/17/2018 22:00,114,Law Library
8/17/2018 23:00,59,Law Library
8/18/2018 0:00,39,Law Library
8/18/2018 1:00,33,Law Library
8/18/2018 2:00,22,Law Library
8/18/2018 3:00,19,Law Library
8/18/2018 4:00,18,Law Library
8/18/2018 5:00,34,Law Library
8/18/2018 6:00,43,Law Library
8/18/2018 7:00,60,Law Library
8/18/2018 8:00,127,Law Library
8/18/2018 9:00,193,Law Library
8/18/2018 10:00,224,Law Library
8/18/2018 11:00,231,Law Library
8/18/2018 12:00,240,Law Library
8/18/2018 13:00,269,Law Library
8/18/2018 14:00,231,Law Library
8/18/2018 15:00,181,Law Library
8/18/2018 16:00,171,Law Library
8/18/2018 17:00,191,Law Library
8/18/2018 18:00,178,Law Library
8/18/2018 19:00,129,Law Library
8/18/2018 20:00,103,Law Library
8/18/2018 21:00,104,Law Library
8/18/2018 22:00,69,Law Library
8/18/2018 23:00,56,Law Library
8/19/2018 0:00,53,Law Library
8/19/2018 1:00,32,Law Library
8/19/2018 2:00,19,Law Library
8/19/2018 3:00,26,Law Library
8/19/2018 4:00,18,Law Library
8/19/2018 5:00,22,Law Library
8/19/2018 6:00,38,Law Library
8/19/2018 7:00,61,Law Library
8/19/2018 8:00,118,Law Library
8/19/2018 9:00,161,Law Library
8/19/2018 10:00,171,Law Library
8/19/2018 11:00,216,Law Library
8/19/2018 12:00,236,Law Library
8/19/2018 13:00,239,Law Library
8/19/2018 14:00,194,Law Library
8/19/2018 15:00,191,Law Library
8/19/2018 16:00,206,Law Library
8/19/2018 17:00,220,Law Library
8/19/2018 18:00,206,Law Library
8/19/2018 19:00,207,Law Library
8/19/2018 20:00,134,Law Library
8/19/2018 21:00,76,Law Library
8/19/2018 22:00,65,Law Library
8/19/2018 23:00,66,Law Library
8/20/2018 0:00,25,Law Library
8/20/2018 1:00,18,Law Library
8/20/2018 2:00,27,Law Library
8/20/2018 3:00,14,Law Library
8/20/2018 4:00,18,Law Library
8/20/2018 5:00,86,Law Library
8/20/2018 6:00,222,Law Library
8/20/2018 7:00,603,Law Library
8/20/2018 8:00,817,Law Library
8/20/2018 9:00,893,Law Library
8/20/2018 10:00,807,Law Library
8/20/2018 11:00,745,Law Library
8/20/2018 12:00,934,Law Library
8/20/2018 13:00,857,Law Library
8/20/2018 14:00,865,Law Library
8/20/2018 15:00,831,Law Library
8/20/2018 16:00,899,Law Library
8/20/2018 17:00,847,Law Library
8/20/2018 18:00,741,Law Library
8/20/2018 19:00,428,Law Library
8/20/2018 20:00,323,Law Library
8/20/2018 21:00,176,Law Library
8/20/2018 22:00,102,Law Library
8/20/2018 23:00,76,Law Library
8/21/2018 0:00,26,Law Library
8/21/2018 1:00,22,Law Library
8/21/2018 2:00,22,Law Library
8/21/2018 3:00,21,Law Library
8/21/2018 4:00,26,Law Library
8/21/2018 5:00,89,Law Library
8/21/2018 6:00,189,Law Library
8/21/2018 7:00,437,Law Library
8/21/2018 8:00,962,Law Library
8/21/2018 9:00,750,Law Library
8/21/2018 10:00,890,Law Library
8/21/2018 11:00,858,Law Library
8/21/2018 12:00,624,Law Library
8/21/2018 13:00,1038,Law Library
8/21/2018 14:00,937,Law Library
8/21/2018 15:00,506,Law Library
8/21/2018 16:00,600,Law Library
8/21/2018 17:00,639,Law Library
8/21/2018 18:00,517,Law Library
8/21/2018 19:00,402,Law Library
8/21/2018 20:00,292,Law Library
8/21/2018 21:00,228,Law Library
8/21/2018 22:00,160,Law Library
8/21/2018 23:00,54,Law Library
8/22/2018 0:00,39,Law Library
8/22/2018 1:00,30,Law Library
8/22/2018 2:00,21,Law Library
8/22/2018 3:00,15,Law Library
8/22/2018 4:00,22,Law Library
8/22/2018 5:00,87,Law Library
8/22/2018 6:00,208,Law Library
8/22/2018 7:00,468,Law Library
8/22/2018 8:00,851,Law Library
8/22/2018 9:00,848,Law Library
8/22/2018 10:00,806,Law Library
8/22/2018 11:00,962,Law Library
8/22/2018 12:00,919,Law Library
8/22/2018 13:00,1011,Law Library
