date,number,name
8/16/2018 11:00,396,Law School
8/16/2018 12:00,445,Law School
8/16/2018 13:00,388,Law School
8/16/2018 14:00,303,Law School
8/16/2018 15:00,362,Law School
8/16/2018 16:00,415,Law School
8/16/2018 17:00,339,Law School
8/16/2018 18:00,266,Law School
8/16/2018 19:00,138,Law School
8/16/2018 20:00,98,Law School
8/16/2018 21:00,79,Law School
8/16/2018 22:00,36,Law School
8/16/2018 23:00,31,Law School
8/17/2018 0:00,32,Law School
8/17/2018 1:00,19,Law School
8/17/2018 2:00,15,Law School
8/17/2018 3:00,21,Law School
8/17/2018 4:00,15,Law School
8/17/2018 5:00,26,Law School
8/17/2018 6:00,62,Law School
8/17/2018 7:00,103,Law School
8/17/2018 8:00,164,Law School
8/17/2018 9:00,223,Law School
8/17/2018 10:00,250,Law School
8/17/2018 11:00,267,Law School
8/17/2018 12:00,209,Law School
8/17/2018 13:00,266,Law School
8/17/2018 14:00,227,Law School
8/17/2018 15:00,194,Law School
8/17/2018 16:00,224,Law School
8/17/2018 17:00,183,Law School
8/17/2018 18:00,155,Law School
8/17/2018 19:00,136,Law School
8/17/2018 20:00,88,Law School
8/17/2018 21:00,97,Law School
8/17/2018 22:00,84,Law School
8/17/2018 23:00,49,Law School
8/18/2018 0:00,28,Law School
8/18/2018 1:00,23,Law School
8/18/2018 2:00,14,Law School
8/18/2018 3:00,16,Law School
8/18/2018 4:00,15,Law School
8/18/2018 5:00,19,Law School
8/18/2018 6:00,39,Law School
8/18/2018 7:00,44,Law School
8/18/2018 8:00,114,Law School
8/18/2018 9:00,170,Law School
8/18/2018 10:00,171,Law School
8/18/2018 11:00,199,Law School
8/18/2018 12:00,178,Law School
8/18/2018 13:00,192,Law School
8/18/2018 14:00,175,Law School
8/18/2018 15:00,138,Law School
8/18/2018 16:00,136,Law School
8/18/2018 17:00,150,Law School
8/18/2018 18:00,119,Law School
8/18/2018 19:00,101,Law School
8/18/2018 20:00,58,Law School
8/18/2018 21:00,56,Law School
8/18/2018 22:00,51,Law School
8/18/2018 23:00,37,Law School
8/19/2018 0:00,38,Law School
8/19/2018 1:00,29,Law School
8/19/2018 2:00,17,Law School
8/19/2018 3:00,18,Law School
8/19/2018 4:00,16,Law School
8/19/2018 5:00,23,Law School
8/19/2018 6:00,31,Law School
8/19/2018 7:00,49,Law School
8/19/2018 8:00,100,Law School
8/19/2018 9:00,122,Law School
8/19/2018 10:00,155,Law School
8/19/2018 11:00,163,Law School
8/19/2018 12:00,188,Law School
8/19/2018 13:00,161,Law School
8/19/2018 14:00,145,Law School
8/19/2018 15:00,158,Law School
8/19/2018 16:00,126,Law School
8/19/2018 17:00,141,Law School
8/19/2018 18:00,125,Law School
8/19/2018 19:00,128,Law School
8/19/2018 20:00,75,Law School
8/19/2018 21:00,57,Law School
8/19/2018 22:00,35,Law School
8/19/2018 23:00,37,Law School
8/20/2018 0:00,20,Law School
8/20/2018 1:00,15,Law School
8/20/2018 2:00,16,Law School
8/20/2018 3:00,11,Law School
8/20/2018 4:00,16,Law School
8/20/2018 5:00,94,Law School
8/20/2018 6:00,217,Law School
8/20/2018 7:00,504,Law School
8/20/2018 8:00,715,Law School
8/20/2018 9:00,667,Law School
8/20/2018 10:00,552,Law School
8/20/2018 11:00,635,Law School
8/20/2018 12:00,657,Law School
8/20/2018 13:00,724,Law School
8/20/2018 14:00,678,Law School
8/20/2018 15:00,627,Law School
8/20/2018 16:00,768,Law School
8/20/2018 17:00,712,Law School
8/20/2018 18:00,575,Law School
8/20/2018 19:00,334,Law School
8/20/2018 20:00,238,Law School
8/20/2018 21:00,121,Law School
8/20/2018 22:00,67,Law School
8/20/2018 23:00,45,Law School
8/21/2018 0:00,24,Law School
8/21/2018 1:00,15,Law School
8/21/2018 2:00,15,Law School
8/21/2018 3:00,14,Law School
8/21/2018 4:00,19,Law School
8/21/2018 5:00,68,Law School
8/21/2018 6:00,224,Law School
8/21/2018 7:00,411,Law School
8/21/2018 8:00,848,Law School
8/21/2018 9:00,548,Law School
8/21/2018 10:00,623,Law School
8/21/2018 11:00,789,Law School
8/21/2018 12:00,601,Law School
8/21/2018 13:00,774,Law School
8/21/2018 14:00,762,Law School
8/21/2018 15:00,537,Law School
8/21/2018 16:00,779,Law School
8/21/2018 17:00,580,Law School
8/21/2018 18:00,478,Law School
8/21/2018 19:00,364,Law School
8/21/2018 20:00,263,Law School
8/21/2018 21:00,168,Law School
8/21/2018 22:00,99,Law School
8/21/2018 23:00,35,Law School
8/22/2018 0:00,29,Law School
8/22/2018 1:00,19,Law School
8/22/2018 2:00,12,Law School
8/22/2018 3:00,13,Law School
8/22/2018 4:00,14,Law School
8/22/2018 5:00,82,Law School
8/22/2018 6:00,183,Law School
8/22/2018 7:00,449,Law School
8/22/2018 8:00,821,Law School
8/22/2018 9:00,713,Law School
8/22/2018 10:00,555,Law School
8/22/2018 11:00,687,Law School
8/22/2018 12:00,702,Law School
8/22/2018 13:00,764,Law School
