date,number,name
8/16/2018 11:00,55,Physical Science Building
8/16/2018 12:00,98,Physical Science Building
8/16/2018 13:00,91,Physical Science Building
8/16/2018 14:00,64,Physical Science Building
8/16/2018 15:00,95,Physical Science Building
8/16/2018 16:00,60,Physical Science Building
8/16/2018 17:00,53,Physical Science Building
8/16/2018 18:00,43,Physical Science Building
8/16/2018 19:00,13,Physical Science Building
8/16/2018 20:00,14,Physical Science Building
8/16/2018 21:00,12,Physical Science Building
8/16/2018 22:00,9,Physical Science Building
8/16/2018 23:00,6,Physical Science Building
8/17/2018 0:00,5,Physical Science Building
8/17/2018 1:00,4,Physical Science Building
8/17/2018 2:00,3,Physical Science Building
8/17/2018 3:00,5,Physical Science Building
8/17/2018 4:00,5,Physical Science Building
8/17/2018 5:00,6,Physical Science Building
8/17/2018 6:00,9,Physical Science Building
8/17/2018 7:00,15,Physical Science Building
8/17/2018 8:00,17,Physical Science Building
8/17/2018 9:00,30,Physical Science Building
8/17/2018 10:00,49,Physical Science Building
8/17/2018 11:00,62,Physical Science Building
8/17/2018 12:00,45,Physical Science Building
8/17/2018 13:00,45,Physical Science Building
8/17/2018 14:00,26,Physical Science Building
8/17/2018 15:00,24,Physical Science Building
8/17/2018 16:00,17,Physical Science Building
8/17/2018 17:00,30,Physical Science Building
8/17/2018 18:00,30,Physical Science Building
8/17/2018 19:00,30,Physical Science Building
8/17/2018 20:00,14,Physical Science Building
8/17/2018 21:00,15,Physical Science Building
8/17/2018 22:00,12,Physical Science Building
8/17/2018 23:00,5,Physical Science Building
8/18/2018 0:00,6,Physical Science Building
8/18/2018 1:00,6,Physical Science Building
8/18/2018 2:00,4,Physical Science Building
8/18/2018 3:00,6,Physical Science Building
8/18/2018 4:00,5,Physical Science Building
8/18/2018 5:00,5,Physical Science Building
8/18/2018 6:00,8,Physical Science Building
8/18/2018 7:00,8,Physical Science Building
8/18/2018 8:00,16,Physical Science Building
8/18/2018 9:00,25,Physical Science Building
8/18/2018 10:00,26,Physical Science Building
8/18/2018 11:00,38,Physical Science Building
8/18/2018 12:00,28,Physical Science Building
8/18/2018 13:00,19,Physical Science Building
8/18/2018 14:00,19,Physical Science Building
8/18/2018 15:00,22,Physical Science Building
8/18/2018 16:00,14,Physical Science Building
8/18/2018 17:00,32,Physical Science Building
8/18/2018 18:00,16,Physical Science Building
8/18/2018 19:00,15,Physical Science Building
8/18/2018 20:00,13,Physical Science Building
8/18/2018 21:00,9,Physical Science Building
8/18/2018 22:00,7,Physical Science Building
8/18/2018 23:00,7,Physical Science Building
8/19/2018 0:00,6,Physical Science Building
8/19/2018 1:00,5,Physical Science Building
8/19/2018 2:00,5,Physical Science Building
8/19/2018 3:00,6,Physical Science Building
8/19/2018 4:00,5,Physical Science Building
8/19/2018 5:00,6,Physical Science Building
8/19/2018 6:00,5,Physical Science Building
8/19/2018 7:00,11,Physical Science Building
8/19/2018 8:00,21,Physical Science Building
8/19/2018 9:00,47,Physical Science Building
8/19/2018 10:00,54,Physical Science Building
8/19/2018 11:00,54,Physical Science Building
8/19/2018 12:00,63,Physical Science Building
8/19/2018 13:00,39,Physical Science Building
8/19/2018 14:00,41,Physical Science Building
8/19/2018 15:00,46,Physical Science Building
8/19/2018 16:00,38,Physical Science Building
8/19/2018 17:00,52,Physical Science Building
8/19/2018 18:00,23,Physical Science Building
8/19/2018 19:00,31,Physical Science Building
8/19/2018 20:00,17,Physical Science Building
8/19/2018 21:00,27,Physical Science Building
8/19/2018 22:00,12,Physical Science Building
8/19/2018 23:00,7,Physical Science Building
8/20/2018 0:00,6,Physical Science Building
8/20/2018 1:00,5,Physical Science Building
8/20/2018 2:00,6,Physical Science Building
8/20/2018 3:00,6,Physical Science Building
8/20/2018 4:00,6,Physical Science Building
8/20/2018 5:00,8,Physical Science Building
8/20/2018 6:00,56,Physical Science Building
8/20/2018 7:00,166,Physical Science Building
8/20/2018 8:00,376,Physical Science Building
8/20/2018 9:00,572,Physical Science Building
8/20/2018 10:00,615,Physical Science Building
8/20/2018 11:00,525,Physical Science Building
8/20/2018 12:00,556,Physical Science Building
8/20/2018 13:00,522,Physical Science Building
8/20/2018 14:00,407,Physical Science Building
8/20/2018 15:00,245,Physical Science Building
