date,number,name
8/16/2018 11:00,385,Queen Liliuokalani
8/16/2018 12:00,395,Queen Liliuokalani
8/16/2018 13:00,408,Queen Liliuokalani
8/16/2018 14:00,331,Queen Liliuokalani
8/16/2018 15:00,398,Queen Liliuokalani
8/16/2018 16:00,290,Queen Liliuokalani
8/16/2018 17:00,176,Queen Liliuokalani
8/16/2018 18:00,84,Queen Liliuokalani
8/16/2018 19:00,64,Queen Liliuokalani
8/16/2018 20:00,36,Queen Liliuokalani
8/16/2018 21:00,35,Queen Liliuokalani
8/16/2018 22:00,30,Queen Liliuokalani
8/16/2018 23:00,27,Queen Liliuokalani
8/17/2018 0:00,25,Queen Liliuokalani
8/17/2018 1:00,23,Queen Liliuokalani
8/17/2018 2:00,26,Queen Liliuokalani
8/17/2018 3:00,21,Queen Liliuokalani
8/17/2018 4:00,26,Queen Liliuokalani
8/17/2018 5:00,20,Queen Liliuokalani
8/17/2018 6:00,30,Queen Liliuokalani
8/17/2018 7:00,68,Queen Liliuokalani
8/17/2018 8:00,135,Queen Liliuokalani
8/17/2018 9:00,132,Queen Liliuokalani
8/17/2018 10:00,167,Queen Liliuokalani
8/17/2018 11:00,195,Queen Liliuokalani
8/17/2018 12:00,200,Queen Liliuokalani
8/17/2018 13:00,156,Queen Liliuokalani
8/17/2018 14:00,164,Queen Liliuokalani
8/17/2018 15:00,86,Queen Liliuokalani
8/17/2018 16:00,67,Queen Liliuokalani
8/17/2018 17:00,60,Queen Liliuokalani
8/17/2018 18:00,43,Queen Liliuokalani
8/17/2018 19:00,41,Queen Liliuokalani
8/17/2018 20:00,28,Queen Liliuokalani
8/17/2018 21:00,27,Queen Liliuokalani
8/17/2018 22:00,26,Queen Liliuokalani
8/17/2018 23:00,23,Queen Liliuokalani
8/18/2018 0:00,23,Queen Liliuokalani
8/18/2018 1:00,21,Queen Liliuokalani
8/18/2018 2:00,23,Queen Liliuokalani
8/18/2018 3:00,22,Queen Liliuokalani
8/18/2018 4:00,22,Queen Liliuokalani
8/18/2018 5:00,22,Queen Liliuokalani
8/18/2018 6:00,23,Queen Liliuokalani
8/18/2018 7:00,36,Queen Liliuokalani
8/18/2018 8:00,98,Queen Liliuokalani
8/18/2018 9:00,107,Queen Liliuokalani
8/18/2018 10:00,107,Queen Liliuokalani
8/18/2018 11:00,118,Queen Liliuokalani
8/18/2018 12:00,129,Queen Liliuokalani
8/18/2018 13:00,82,Queen Liliuokalani
8/18/2018 14:00,67,Queen Liliuokalani
8/18/2018 15:00,64,Queen Liliuokalani
8/18/2018 16:00,71,Queen Liliuokalani
8/18/2018 17:00,40,Queen Liliuokalani
8/18/2018 18:00,41,Queen Liliuokalani
8/18/2018 19:00,29,Queen Liliuokalani
8/18/2018 20:00,28,Queen Liliuokalani
8/18/2018 21:00,29,Queen Liliuokalani
8/18/2018 22:00,24,Queen Liliuokalani
8/18/2018 23:00,24,Queen Liliuokalani
8/19/2018 0:00,22,Queen Liliuokalani
8/19/2018 1:00,21,Queen Liliuokalani
8/19/2018 2:00,20,Queen Liliuokalani
8/19/2018 3:00,22,Queen Liliuokalani
8/19/2018 4:00,19,Queen Liliuokalani
8/19/2018 5:00,21,Queen Liliuokalani
8/19/2018 6:00,27,Queen Liliuokalani
8/19/2018 7:00,28,Queen Liliuokalani
8/19/2018 8:00,57,Queen Liliuokalani
8/19/2018 9:00,70,Queen Liliuokalani
8/19/2018 10:00,80,Queen Liliuokalani
8/19/2018 11:00,88,Queen Liliuokalani
8/19/2018 12:00,97,Queen Liliuokalani
8/19/2018 13:00,88,Queen Liliuokalani
8/19/2018 14:00,73,Queen Liliuokalani
8/19/2018 15:00,95,Queen Liliuokalani
8/19/2018 16:00,90,Queen Liliuokalani
8/19/2018 17:00,74,Queen Liliuokalani
8/19/2018 18:00,57,Queen Liliuokalani
8/19/2018 19:00,69,Queen Liliuokalani
8/19/2018 20:00,41,Queen Liliuokalani
8/19/2018 21:00,22,Queen Liliuokalani
8/19/2018 22:00,29,Queen Liliuokalani
8/19/2018 23:00,26,Queen Liliuokalani
8/20/2018 0:00,25,Queen Liliuokalani
8/20/2018 1:00,25,Queen Liliuokalani
8/20/2018 2:00,24,Queen Liliuokalani
8/20/2018 3:00,24,Queen Liliuokalani
8/20/2018 4:00,24,Queen Liliuokalani
8/20/2018 5:00,52,Queen Liliuokalani
8/20/2018 6:00,124,Queen Liliuokalani
8/20/2018 7:00,329,Queen Liliuokalani
8/20/2018 8:00,592,Queen Liliuokalani
8/20/2018 9:00,686,Queen Liliuokalani
8/20/2018 10:00,666,Queen Liliuokalani
8/20/2018 11:00,837,Queen Liliuokalani
8/20/2018 12:00,813,Queen Liliuokalani
8/20/2018 13:00,773,Queen Liliuokalani
