date,number,name
8/16/2018 11:00,316,Sinclair Library
8/16/2018 12:00,355,Sinclair Library
8/16/2018 13:00,302,Sinclair Library
8/16/2018 14:00,271,Sinclair Library
8/16/2018 15:00,390,Sinclair Library
8/16/2018 16:00,354,Sinclair Library
8/16/2018 17:00,304,Sinclair Library
8/16/2018 18:00,211,Sinclair Library
8/16/2018 19:00,103,Sinclair Library
8/16/2018 20:00,89,Sinclair Library
8/16/2018 21:00,63,Sinclair Library
8/16/2018 22:00,50,Sinclair Library
8/16/2018 23:00,29,Sinclair Library
8/17/2018 0:00,18,Sinclair Library
8/17/2018 1:00,10,Sinclair Library
8/17/2018 2:00,10,Sinclair Library
8/17/2018 3:00,12,Sinclair Library
8/17/2018 4:00,6,Sinclair Library
8/17/2018 5:00,23,Sinclair Library
8/17/2018 6:00,70,Sinclair Library
8/17/2018 7:00,103,Sinclair Library
8/17/2018 8:00,104,Sinclair Library
8/17/2018 9:00,182,Sinclair Library
8/17/2018 10:00,176,Sinclair Library
8/17/2018 11:00,192,Sinclair Library
8/17/2018 12:00,172,Sinclair Library
8/17/2018 13:00,173,Sinclair Library
8/17/2018 14:00,191,Sinclair Library
8/17/2018 15:00,149,Sinclair Library
8/17/2018 16:00,149,Sinclair Library
8/17/2018 17:00,121,Sinclair Library
8/17/2018 18:00,112,Sinclair Library
8/17/2018 19:00,89,Sinclair Library
8/17/2018 20:00,61,Sinclair Library
8/17/2018 21:00,70,Sinclair Library
8/17/2018 22:00,63,Sinclair Library
8/17/2018 23:00,42,Sinclair Library
8/18/2018 0:00,16,Sinclair Library
8/18/2018 1:00,11,Sinclair Library
8/18/2018 2:00,14,Sinclair Library
8/18/2018 3:00,8,Sinclair Library
8/18/2018 4:00,9,Sinclair Library
8/18/2018 5:00,18,Sinclair Library
8/18/2018 6:00,40,Sinclair Library
8/18/2018 7:00,55,Sinclair Library
8/18/2018 8:00,123,Sinclair Library
8/18/2018 9:00,143,Sinclair Library
8/18/2018 10:00,166,Sinclair Library
8/18/2018 11:00,156,Sinclair Library
8/18/2018 12:00,153,Sinclair Library
8/18/2018 13:00,138,Sinclair Library
8/18/2018 14:00,123,Sinclair Library
