lat,long,name
21.300648,-157.817636,Webster Hall
21.298472,-157.817582,Kuykendall Hall
21.298403,-157.815835,Watanabe Hall
21.299811,-157.815668,Keller Hall
21.302869,-157.814705,Center for Microbial Oceanography Research and Education
21.29883,-157.820546,Sinclair Library
21.297695,-157.815048,East west Parking Kiosk
21.299413,-157.815935,Physical Science Building
21.297865,-157.816686,Hawai'i Institute of Geophysics
21.299306,-157.815228,Kennedy Theater
21.300289,-157.819455,Crawford Hall
21.300946,-157.815943,Hamilton Library
21.297927,-157.820377,Parking Kiosk
21.299548,-157.817757,Art Building
21.298412,-157.817309,Kuykendall Hall
21.297994,-157.819594,Administration Services Building 2
21.296259,-157.818389,Law School
21.297214,-157.819605,Bachman Hall
21.29648,-157.817362,Law Library
21.300528,-157.81835,Queen Liliuokalani
21.2998,-157.818993,Hawai'i Hall
21.301144,-157.814253,Center for Korean Studies
21.295835,-157.814838,Gateway House
21.298417,-157.81892,Campus Center
21.298886,-157.818814,Warrior Recreation Center
