date,number
8/16/2018 11:00,499
8/16/2018 12:00,520
8/16/2018 13:00,404
8/16/2018 14:00,335
8/16/2018 15:00,394
8/16/2018 16:00,400
8/16/2018 17:00,316
8/16/2018 18:00,279
8/16/2018 19:00,168
8/16/2018 20:00,130
8/16/2018 21:00,103
8/16/2018 22:00,57
8/16/2018 23:00,39
8/17/2018 0:00,39
8/17/2018 1:00,23
8/17/2018 2:00,16
8/17/2018 3:00,24
8/17/2018 4:00,24
8/17/2018 5:00,31
8/17/2018 6:00,71
8/17/2018 7:00,122
8/17/2018 8:00,210
8/17/2018 9:00,218
8/17/2018 10:00,260
8/17/2018 11:00,329
8/17/2018 12:00,313
8/17/2018 13:00,327
8/17/2018 14:00,292
8/17/2018 15:00,247
8/17/2018 16:00,282
8/17/2018 17:00,212
8/17/2018 18:00,202
8/17/2018 19:00,205
8/17/2018 20:00,122
8/17/2018 21:00,133
8/17/2018 22:00,114
8/17/2018 23:00,59
8/18/2018 0:00,39
8/18/2018 1:00,33
8/18/2018 2:00,22
8/18/2018 3:00,19
8/18/2018 4:00,18
8/18/2018 5:00,34
8/18/2018 6:00,43
8/18/2018 7:00,60
8/18/2018 8:00,127
8/18/2018 9:00,193
8/18/2018 10:00,224
8/18/2018 11:00,231
8/18/2018 12:00,240
8/18/2018 13:00,269
8/18/2018 14:00,231
8/18/2018 15:00,181
8/18/2018 16:00,171
8/18/2018 17:00,191
8/18/2018 18:00,178
8/18/2018 19:00,129
8/18/2018 20:00,103
8/18/2018 21:00,104
8/18/2018 22:00,69
8/18/2018 23:00,56
8/19/2018 0:00,53
8/19/2018 1:00,32
8/19/2018 2:00,19
8/19/2018 3:00,26
8/19/2018 4:00,18
8/19/2018 5:00,22
8/19/2018 6:00,38
8/19/2018 7:00,61
8/19/2018 8:00,118
8/19/2018 9:00,161
8/19/2018 10:00,171
8/19/2018 11:00,216
8/19/2018 12:00,236
8/19/2018 13:00,239
8/19/2018 14:00,194
8/19/2018 15:00,191
8/19/2018 16:00,206
8/19/2018 17:00,220
8/19/2018 18:00,206
8/19/2018 19:00,207
8/19/2018 20:00,134
8/19/2018 21:00,76
8/19/2018 22:00,65
8/19/2018 23:00,66
8/20/2018 0:00,25
8/20/2018 1:00,18
8/20/2018 2:00,27
8/20/2018 3:00,14
8/20/2018 4:00,18
8/20/2018 5:00,222
8/20/2018 6:00,603
8/20/2018 7:00,817
8/20/2018 8:00,893
8/20/2018 9:00,807
8/20/2018 10:00,745
8/20/2018 11:00,934
8/20/2018 12:00,857
8/20/2018 13:00,865
8/20/2018 14:00,831
8/20/2018 15:00,899
8/20/2018 16:00,847
8/20/2018 17:00,741
8/20/2018 18:00,428
8/20/2018 19:00,323
8/20/2018 20:00,176
8/20/2018 21:00,102
8/20/2018 22:00,76
8/20/2018 23:00,26
8/21/2018 0:00,22
8/21/2018 1:00,22
8/21/2018 2:00,21
8/21/2018 3:00,26
8/21/2018 4:00,89
8/21/2018 5:00,189
8/21/2018 6:00,437
8/21/2018 7:00,962
8/21/2018 8:00,750
8/21/2018 9:00,890
8/21/2018 10:00,858
8/21/2018 11:00,624
8/21/2018 12:00,1038
8/21/2018 13:00,937
8/21/2018 14:00,506
8/21/2018 15:00,600
8/21/2018 16:00,639
8/21/2018 17:00,517
8/21/2018 18:00,402
8/21/2018 19:00,292
8/21/2018 20:00,228
8/21/2018 21:00,160
8/21/2018 22:00,54
8/21/2018 23:00,39
8/22/2018 0:00,30
8/22/2018 1:00,21
8/22/2018 2:00,15
8/22/2018 3:00,22
8/22/2018 4:00,87
8/22/2018 5:00,208
8/22/2018 6:00,468
8/22/2018 7:00,851
8/22/2018 8:00,848
8/22/2018 9:00,806
8/22/2018 10:00,962
8/22/2018 11:00,919
8/22/2018 12:00,86
8/22/2018 13:00,1011
