lat,long,number
21.300648,-157.817636,19978
21.298472,-157.817582,28298
21.298403,-157.815835,22088
21.299811,-157.815668,32644
21.302869,-157.814705,6460
21.29883,-157.820546,28638
21.297695,-157.815048,23092
21.299413,-157.815935,14041
21.297865,-157.816686,21740
21.299306,-157.815228,13279
21.300289,-157.819455,19856
21.300946,-157.815943,24532
21.297927,-157.820377,22908
21.299548,-157.817757,35222
21.298412,-157.817309,14630
21.297994,-157.819594,18607
21.296259,-157.818389,33874
21.297214,-157.819605,12713
21.29648,-157.817362,41389
21.300528,-157.81835,26244
21.2998,-157.818993,24560
21.301144,-157.814253,24613
21.295835,-157.814838,42550
21.298417,-157.81892,44078
21.298886,-157.818814,19590
