date,number,name
8/16/2018 11:00,193,Warrior Recreation Center
8/16/2018 12:00,278,Warrior Recreation Center
8/16/2018 13:00,198,Warrior Recreation Center
8/16/2018 14:00,168,Warrior Recreation Center
8/16/2018 15:00,196,Warrior Recreation Center
8/16/2018 16:00,182,Warrior Recreation Center
8/16/2018 17:00,193,Warrior Recreation Center
8/16/2018 18:00,141,Warrior Recreation Center
8/16/2018 19:00,31,Warrior Recreation Center
8/16/2018 20:00,14,Warrior Recreation Center
8/16/2018 21:00,12,Warrior Recreation Center
8/16/2018 22:00,4,Warrior Recreation Center
8/16/2018 23:00,5,Warrior Recreation Center
8/17/2018 0:00,3,Warrior Recreation Center
8/17/2018 1:00,4,Warrior Recreation Center
8/17/2018 2:00,4,Warrior Recreation Center
8/17/2018 3:00,3,Warrior Recreation Center
8/17/2018 4:00,1,Warrior Recreation Center
8/17/2018 5:00,4,Warrior Recreation Center
8/17/2018 6:00,13,Warrior Recreation Center
8/17/2018 7:00,28,Warrior Recreation Center
8/17/2018 8:00,93,Warrior Recreation Center
8/17/2018 9:00,114,Warrior Recreation Center
8/17/2018 10:00,138,Warrior Recreation Center
8/17/2018 11:00,142,Warrior Recreation Center
8/17/2018 12:00,131,Warrior Recreation Center
8/17/2018 13:00,139,Warrior Recreation Center
8/17/2018 14:00,138,Warrior Recreation Center
8/17/2018 15:00,111,Warrior Recreation Center
8/17/2018 16:00,110,Warrior Recreation Center
8/17/2018 17:00,105,Warrior Recreation Center
8/17/2018 18:00,98,Warrior Recreation Center
8/17/2018 19:00,41,Warrior Recreation Center
8/17/2018 20:00,13,Warrior Recreation Center
8/17/2018 21:00,4,Warrior Recreation Center
8/17/2018 22:00,4,Warrior Recreation Center
8/17/2018 23:00,8,Warrior Recreation Center
8/18/2018 0:00,3,Warrior Recreation Center
8/18/2018 1:00,2,Warrior Recreation Center
8/18/2018 2:00,1,Warrior Recreation Center
8/18/2018 3:00,1,Warrior Recreation Center
8/18/2018 4:00,1,Warrior Recreation Center
8/18/2018 5:00,2,Warrior Recreation Center
8/18/2018 6:00,4,Warrior Recreation Center
8/18/2018 7:00,8,Warrior Recreation Center
8/18/2018 8:00,59,Warrior Recreation Center
8/18/2018 9:00,115,Warrior Recreation Center
8/18/2018 10:00,130,Warrior Recreation Center
8/18/2018 11:00,142,Warrior Recreation Center
8/18/2018 12:00,121,Warrior Recreation Center
8/18/2018 13:00,114,Warrior Recreation Center
8/18/2018 14:00,108,Warrior Recreation Center
8/18/2018 15:00,104,Warrior Recreation Center
8/18/2018 16:00,115,Warrior Recreation Center
8/18/2018 17:00,71,Warrior Recreation Center
8/18/2018 18:00,16,Warrior Recreation Center
8/18/2018 19:00,5,Warrior Recreation Center
8/18/2018 20:00,10,Warrior Recreation Center
8/18/2018 21:00,5,Warrior Recreation Center
8/18/2018 22:00,3,Warrior Recreation Center
8/18/2018 23:00,2,Warrior Recreation Center
8/19/2018 0:00,2,Warrior Recreation Center
8/19/2018 1:00,2,Warrior Recreation Center
8/19/2018 2:00,0,Warrior Recreation Center
8/19/2018 3:00,2,Warrior Recreation Center
8/19/2018 4:00,3,Warrior Recreation Center
8/19/2018 5:00,1,Warrior Recreation Center
8/19/2018 6:00,3,Warrior Recreation Center
8/19/2018 7:00,13,Warrior Recreation Center
8/19/2018 8:00,36,Warrior Recreation Center
8/19/2018 9:00,94,Warrior Recreation Center
8/19/2018 10:00,139,Warrior Recreation Center
8/19/2018 11:00,136,Warrior Recreation Center
8/19/2018 12:00,65,Warrior Recreation Center
8/19/2018 13:00,68,Warrior Recreation Center
8/19/2018 14:00,52,Warrior Recreation Center
8/19/2018 15:00,60,Warrior Recreation Center
8/19/2018 16:00,58,Warrior Recreation Center
8/19/2018 17:00,33,Warrior Recreation Center
8/19/2018 18:00,30,Warrior Recreation Center
8/19/2018 19:00,28,Warrior Recreation Center
8/19/2018 20:00,10,Warrior Recreation Center
8/19/2018 21:00,10,Warrior Recreation Center
8/19/2018 22:00,4,Warrior Recreation Center
8/19/2018 23:00,7,Warrior Recreation Center
8/20/2018 0:00,3,Warrior Recreation Center
8/20/2018 1:00,1,Warrior Recreation Center
8/20/2018 2:00,1,Warrior Recreation Center
8/20/2018 3:00,1,Warrior Recreation Center
8/20/2018 4:00,6,Warrior Recreation Center
8/20/2018 5:00,68,Warrior Recreation Center
8/20/2018 6:00,164,Warrior Recreation Center
8/20/2018 7:00,220,Warrior Recreation Center
8/20/2018 8:00,345,Warrior Recreation Center
8/20/2018 9:00,479,Warrior Recreation Center
8/20/2018 10:00,390,Warrior Recreation Center
8/20/2018 11:00,524,Warrior Recreation Center
8/20/2018 12:00,563,Warrior Recreation Center
8/20/2018 13:00,470,Warrior Recreation Center
8/20/2018 14:00,457,Warrior Recreation Center
8/20/2018 15:00,422,Warrior Recreation Center
8/20/2018 16:00,541,Warrior Recreation Center
8/20/2018 17:00,457,Warrior Recreation Center
8/20/2018 18:00,305,Warrior Recreation Center
8/20/2018 19:00,286,Warrior Recreation Center
8/20/2018 20:00,227,Warrior Recreation Center
8/20/2018 21:00,149,Warrior Recreation Center
8/20/2018 22:00,69,Warrior Recreation Center
8/20/2018 23:00,12,Warrior Recreation Center
8/21/2018 0:00,8,Warrior Recreation Center
8/21/2018 1:00,3,Warrior Recreation Center
8/21/2018 2:00,5,Warrior Recreation Center
8/21/2018 3:00,5,Warrior Recreation Center
8/21/2018 4:00,4,Warrior Recreation Center
8/21/2018 5:00,52,Warrior Recreation Center
8/21/2018 6:00,140,Warrior Recreation Center
8/21/2018 7:00,210,Warrior Recreation Center
8/21/2018 8:00,378,Warrior Recreation Center
8/21/2018 9:00,324,Warrior Recreation Center
8/21/2018 10:00,496,Warrior Recreation Center
8/21/2018 11:00,488,Warrior Recreation Center
8/21/2018 12:00,376,Warrior Recreation Center
8/21/2018 13:00,490,Warrior Recreation Center
8/21/2018 14:00,471,Warrior Recreation Center
8/21/2018 15:00,367,Warrior Recreation Center
8/21/2018 16:00,416,Warrior Recreation Center
8/21/2018 17:00,340,Warrior Recreation Center
8/21/2018 18:00,275,Warrior Recreation Center
8/21/2018 19:00,257,Warrior Recreation Center
8/21/2018 20:00,219,Warrior Recreation Center
8/21/2018 21:00,159,Warrior Recreation Center
8/21/2018 22:00,90,Warrior Recreation Center
8/21/2018 23:00,13,Warrior Recreation Center
8/22/2018 0:00,7,Warrior Recreation Center
8/22/2018 1:00,3,Warrior Recreation Center
8/22/2018 2:00,3,Warrior Recreation Center
8/22/2018 3:00,3,Warrior Recreation Center
8/22/2018 4:00,4,Warrior Recreation Center
8/22/2018 5:00,54,Warrior Recreation Center
8/22/2018 6:00,123,Warrior Recreation Center
8/22/2018 7:00,161,Warrior Recreation Center
8/22/2018 8:00,293,Warrior Recreation Center
8/22/2018 9:00,324,Warrior Recreation Center
8/22/2018 10:00,368,Warrior Recreation Center
8/22/2018 11:00,481,Warrior Recreation Center
8/22/2018 12:00,483,Warrior Recreation Center
8/22/2018 13:00,475,Warrior Recreation Center
