date,number,name
8/16/2018 11:00,179,Watanabe Hall
8/16/2018 12:00,311,Watanabe Hall
8/16/2018 13:00,284,Watanabe Hall
8/16/2018 14:00,227,Watanabe Hall
8/16/2018 15:00,233,Watanabe Hall
8/16/2018 16:00,192,Watanabe Hall
8/16/2018 17:00,136,Watanabe Hall
8/16/2018 18:00,126,Watanabe Hall
8/16/2018 19:00,59,Watanabe Hall
8/16/2018 20:00,28,Watanabe Hall
8/16/2018 21:00,25,Watanabe Hall
8/16/2018 22:00,28,Watanabe Hall
8/16/2018 23:00,19,Watanabe Hall
8/17/2018 0:00,10,Watanabe Hall
8/17/2018 1:00,14,Watanabe Hall
8/17/2018 2:00,8,Watanabe Hall
8/17/2018 3:00,8,Watanabe Hall
8/17/2018 4:00,11,Watanabe Hall
8/17/2018 5:00,11,Watanabe Hall
8/17/2018 6:00,31,Watanabe Hall
8/17/2018 7:00,59,Watanabe Hall
8/17/2018 8:00,70,Watanabe Hall
8/17/2018 9:00,85,Watanabe Hall
8/17/2018 10:00,99,Watanabe Hall
8/17/2018 11:00,141,Watanabe Hall
8/17/2018 12:00,103,Watanabe Hall
8/17/2018 13:00,104,Watanabe Hall
8/17/2018 14:00,83,Watanabe Hall
8/17/2018 15:00,53,Watanabe Hall
8/17/2018 16:00,58,Watanabe Hall
8/17/2018 17:00,73,Watanabe Hall
8/17/2018 18:00,63,Watanabe Hall
8/17/2018 19:00,59,Watanabe Hall
8/17/2018 20:00,26,Watanabe Hall
8/17/2018 21:00,25,Watanabe Hall
8/17/2018 22:00,33,Watanabe Hall
8/17/2018 23:00,29,Watanabe Hall
8/18/2018 0:00,9,Watanabe Hall
8/18/2018 1:00,11,Watanabe Hall
8/18/2018 2:00,10,Watanabe Hall
8/18/2018 3:00,10,Watanabe Hall
8/18/2018 4:00,10,Watanabe Hall
8/18/2018 5:00,11,Watanabe Hall
8/18/2018 6:00,27,Watanabe Hall
8/18/2018 7:00,46,Watanabe Hall
8/18/2018 8:00,63,Watanabe Hall
8/18/2018 9:00,59,Watanabe Hall
