date,number,name
8/16/2018 11:00,249,Administration Services Building
8/16/2018 12:00,302,Administration Services Building
8/16/2018 13:00,254,Administration Services Building
8/16/2018 14:00,266,Administration Services Building
8/16/2018 15:00,299,Administration Services Building
8/16/2018 16:00,242,Administration Services Building
8/16/2018 17:00,186,Administration Services Building
8/16/2018 18:00,126,Administration Services Building
8/16/2018 19:00,50,Administration Services Building
8/16/2018 20:00,32,Administration Services Building
8/16/2018 21:00,38,Administration Services Building
8/16/2018 22:00,20,Administration Services Building
8/16/2018 23:00,9,Administration Services Building
8/17/2018 0:00,10,Administration Services Building
8/17/2018 1:00,11,Administration Services Building
8/17/2018 2:00,6,Administration Services Building
8/17/2018 3:00,9,Administration Services Building
8/17/2018 4:00,10,Administration Services Building
8/17/2018 5:00,14,Administration Services Building
8/17/2018 6:00,37,Administration Services Building
8/17/2018 7:00,48,Administration Services Building
8/17/2018 8:00,93,Administration Services Building
8/17/2018 9:00,99,Administration Services Building
8/17/2018 10:00,106,Administration Services Building
8/17/2018 11:00,103,Administration Services Building
8/17/2018 12:00,123,Administration Services Building
8/17/2018 13:00,125,Administration Services Building
8/17/2018 14:00,143,Administration Services Building
8/17/2018 15:00,97,Administration Services Building
8/17/2018 16:00,78,Administration Services Building
8/17/2018 17:00,54,Administration Services Building
8/17/2018 18:00,44,Administration Services Building
8/17/2018 19:00,39,Administration Services Building
8/17/2018 20:00,30,Administration Services Building
8/17/2018 21:00,28,Administration Services Building
8/17/2018 22:00,26,Administration Services Building
8/17/2018 23:00,17,Administration Services Building
8/18/2018 0:00,13,Administration Services Building
8/18/2018 1:00,12,Administration Services Building
8/18/2018 2:00,7,Administration Services Building
8/18/2018 3:00,5,Administration Services Building
8/18/2018 4:00,8,Administration Services Building
8/18/2018 5:00,8,Administration Services Building
8/18/2018 6:00,14,Administration Services Building
8/18/2018 7:00,23,Administration Services Building
8/18/2018 8:00,50,Administration Services Building
8/18/2018 9:00,94,Administration Services Building
8/18/2018 10:00,65,Administration Services Building
8/18/2018 11:00,81,Administration Services Building
8/18/2018 12:00,67,Administration Services Building
8/18/2018 13:00,97,Administration Services Building
8/18/2018 14:00,85,Administration Services Building
8/18/2018 15:00,59,Administration Services Building
8/18/2018 16:00,46,Administration Services Building
8/18/2018 17:00,55,Administration Services Building
8/18/2018 18:00,52,Administration Services Building
8/18/2018 19:00,29,Administration Services Building
8/18/2018 20:00,27,Administration Services Building
8/18/2018 21:00,17,Administration Services Building
8/18/2018 22:00,16,Administration Services Building
8/18/2018 23:00,14,Administration Services Building
8/19/2018 0:00,13,Administration Services Building
8/19/2018 1:00,9,Administration Services Building
8/19/2018 2:00,8,Administration Services Building
8/19/2018 3:00,7,Administration Services Building
8/19/2018 4:00,7,Administration Services Building
8/19/2018 5:00,12,Administration Services Building
8/19/2018 6:00,19,Administration Services Building
8/19/2018 7:00,21,Administration Services Building
8/19/2018 8:00,37,Administration Services Building
8/19/2018 9:00,72,Administration Services Building
8/19/2018 10:00,64,Administration Services Building
8/19/2018 11:00,65,Administration Services Building
8/19/2018 12:00,85,Administration Services Building
8/19/2018 13:00,80,Administration Services Building
8/19/2018 14:00,102,Administration Services Building
8/19/2018 15:00,49,Administration Services Building
8/19/2018 16:00,53,Administration Services Building
8/19/2018 17:00,53,Administration Services Building
8/19/2018 18:00,39,Administration Services Building
8/19/2018 19:00,45,Administration Services Building
8/19/2018 20:00,32,Administration Services Building
8/19/2018 21:00,27,Administration Services Building
8/19/2018 22:00,15,Administration Services Building
8/19/2018 23:00,14,Administration Services Building
8/20/2018 0:00,8,Administration Services Building
8/20/2018 1:00,7,Administration Services Building
8/20/2018 2:00,10,Administration Services Building
8/20/2018 3:00,7,Administration Services Building
8/20/2018 4:00,9,Administration Services Building
8/20/2018 5:00,33,Administration Services Building
8/20/2018 6:00,117,Administration Services Building
8/20/2018 7:00,247,Administration Services Building
8/20/2018 8:00,468,Administration Services Building
